A,B,C
1.7239754,1.4212327,1.6697855
1.7664635,1.2453854,1.7016063
1.689863,1.234204,1.7842124
1.6053736,1.3464574,1.6271926
1.7245541,1.1579733,1.8143994
1.6347752,1.4041868,1.5355747
1.5827134,1.3893571,1.850035
1.7339928,1.3934342,1.6924766
1.6947635,1.110281,1.8014213
1.7583045,1.3033342,1.7982082
1.8083894,1.2877128,1.5818373
1.7599387,1.3246226,1.6593409
1.6323307,1.3775992,1.919376
1.8956587,1.3123899,1.7237327
1.6984396,1.2724266,1.7696749
1.7674735,1.2276418,1.6725239
1.5918376,1.2793306,1.6494906
1.7610527,1.2603896,1.7429496
1.7205172,1.1249071,1.6114272
1.7519873,1.2772721,1.5663272
1.5713283,1.2597734,1.683113
1.5817777,1.3792987,1.5979929
1.6574188,1.1874448,1.8645971
1.8169107,1.2250645,1.6413611
1.79443,1.3808264,1.638587
1.8094416,1.2952882,1.645725
1.6094022,1.3475201,1.7886115
1.6492277,1.2792724,1.9252369
1.6471955,1.3245095,1.7138854
1.6261942,1.2594984,1.6735747
1.6683002,1.3775787,1.6664551
1.7690165,1.3682883,1.868935
1.8415697,1.266818,1.6661787
1.7917393,1.4746103,1.7667894
1.6820048,1.4639106,1.6817659
1.6991805,1.2534202,1.8395698
1.6944048,1.3699124,1.8006434
1.8095326,1.3386338,1.8599651
1.9181085,1.3256301,1.777406
1.8835372,1.384314,1.723209
1.9059471,1.2532809,1.8982768
1.9162859,1.5151358,1.8619747
1.8180336,1.3363137,1.7147137
1.8721524,1.4849677,1.9054512
1.988352,1.2351437,1.7874906
1.864075,1.4216743,1.9078202
1.8153551,1.3627597,1.7512314
1.7560065,1.3894265,1.7379633
1.9092883,1.4828683,1.8675685
1.702674,1.2552115,1.7681584
1.8400288,1.3738801,1.7419999
1.8231001,1.232523,1.7937537
1.8465137,1.4441006,1.8533586
1.7690909,1.3719819,1.8759758
1.9244736,1.3490758,1.6971554
1.5977134,1.3845873,1.7125285
1.6279345,1.425375,1.7325969
1.9104747,1.2338468,1.6922988
1.815892,1.2704434,1.8161756
1.6605488,1.4691563,1.9163852
1.8460804,1.3271087,1.8367231
1.9160795,1.2055156,1.8070191
1.7483504,1.3169905,1.857137
1.9243195,1.486727,1.7305045
1.8690174,1.3242241,1.9402177
1.7248856,1.2658294,1.902928
1.6313837,1.3924514,1.7074587
1.8744147,1.3098205,1.7718563
1.6644924,1.3187473,1.7269158
1.7687984,1.2828133,1.9207232
1.7912575,1.347147,1.7348012
1.6462537,1.3120527,1.8661174
1.8834989,1.33595,1.6635754
1.6112643,1.3010808,1.7054905
1.5925934,1.2837284,1.7939229
1.714648,1.3351964,1.7243735
1.8153017,1.282613,1.6972057
