A,B,C,D
0.10016444,1.769084,1.540868,0.9060551
-0.11382493,1.8990341,1.2488209,1.0981591
0.055739895,1.928053,1.3646152,1.1050508
-0.07144073,1.8282465,1.2825477,1.0046685
-0.0107551515,1.6409245,1.3028235,0.8763885
-0.14773378,1.7966485,1.3621975,0.895511
-0.009138748,1.834202,1.0754635,1.0116869
0.116193235,1.8168187,1.2528458,1.114166
-0.049854204,1.6379153,1.4842453,1.0022652
-0.14733973,1.8269858,1.4204999,0.9910937
-0.1139005,1.6882136,1.0908988,1.065265
0.14929947,1.617284,1.1851871,1.0130559
0.0011170655,1.7477677,1.3095702,1.0101539
0.07093844,1.7923399,1.1247426,1.048081
-0.07464516,1.7944678,1.2412124,0.9052306
-0.09367274,1.7673721,1.3618373,0.9826129
0.10619244,1.7091997,1.444349,0.8425077
0.036138907,1.8926824,1.4627167,0.96932626
-0.13708147,1.8195336,1.2669045,0.9198641
0.1365721,1.8189764,1.4356735,0.8647734
-0.14741465,1.894889,1.2577279,0.83277786
0.12340686,1.6882336,1.4403522,0.96911633
-0.005096704,1.84509,1.4409168,0.99904937
0.046769455,1.6707963,1.3675064,0.97268075
0.07753955,1.8774564,1.328537,0.9591138
0.11376074,1.708006,1.3335316,0.9705794
0.09989655,1.786555,1.554682,0.90593183
0.08318126,1.6613239,1.4152944,1.0091819
0.11429384,1.7011123,1.265052,1.1346402
-0.10427821,1.683093,1.3162954,0.9784779
0.08569154,1.8196938,1.2842764,0.8589743
0.020684108,1.8938122,1.4183935,1.0231433
-0.12990542,1.8330615,1.2166297,0.9786883
-0.11676209,1.7427317,1.3787802,1.0810695
0.056666598,1.6939502,1.1639745,1.1744921
0.025804892,1.7759055,1.2868481,0.9960769
-0.14142537,1.7882702,1.2308942,1.0144684
0.0562941,1.700488,1.278006,0.932867
-0.039680243,1.5705017,1.4547712,0.9850372
-0.14496917,1.8047197,1.2128179,1.0216067
-0.1488283,1.8937886,1.067837,1.1295506
0.006539941,1.6613828,1.2727787,1.1423403
0.090178356,1.6478775,1.3742905,1.1394539
0.11255893,1.5625956,1.1879193,1.1532928
-0.040607415,1.6440141,1.3388721,0.99218935
0.018681929,1.7549552,1.2746615,1.1107899
0.08908315,1.7269101,1.404741,0.9147483
-0.020151868,1.6806952,1.3708229,0.97495216
-0.0399163,1.8555409,1.2684239,1.1313326
0.111552,1.8680962,1.4215653,1.0051808
-0.06438756,1.6718206,1.2616429,1.0861843
0.13185856,1.6658845,1.4783156,1.0677211
0.072554424,1.6948416,1.3885826,1.0664196
-0.14918347,1.6430143,1.3074493,0.8916425
-0.004245594,1.6095763,1.2852155,1.0711606
0.022254556,1.8210166,1.1419872,1.1787877
-0.09875812,1.9027491,1.3371918,1.0941575
0.11348349,1.6567366,1.4088458,1.020468
0.098467305,1.6660118,1.5410104,1.0778008
0.13016748,1.720068,1.4426069,0.9699217
0.068169475,1.8364109,1.2113894,1.1087269
0.033003658,1.956245,1.3430445,1.0429746
0.019532025,1.6500865,1.3299365,1.0779839
-0.12384539,1.7865113,1.348179,0.91120017
-0.088590235,1.9131168,1.1155381,0.8234418
-0.1162895,1.7477579,1.3282843,0.7982656
-0.029867724,1.7939076,1.2417461,0.785357
-0.09201604,1.7185935,1.2137705,0.9016668
-0.12055484,1.7415165,1.1655489,1.0259595
-0.053348154,1.776556,1.2953132,0.89906234
0.11032328,1.7086105,1.31697,1.0661597
-0.10188261,1.7178843,1.3417442,0.90840733
0.06802644,1.6499693,1.2786336,0.9862355
-0.102300726,1.8758001,1.296946,0.9888815
-0.13813743,1.6854131,1.3600067,0.9613765
0.07166962,1.7238321,1.2992679,0.84109163
0.08433078,1.8365023,1.3989891,0.97315854
-0.07861405,1.7464201,1.2952797,1.0026014
-0.14827715,1.8591897,1.2905836,1.0235821
0.00540182,1.6641039,1.1555973,1.1276158
-0.06679246,1.6842465,1.4698889,1.1854886
0.016314283,1.5562234,1.3446277,0.98324895
-0.007359326,1.8291863,1.2968544,1.024185
0.108632386,1.7736642,1.3650837,1.1438506
0.108810216,1.6872493,1.3417752,1.0931814
0.07428931,1.6805276,1.2505288,1.1750755
-0.13248904,1.711269,1.3645533,1.0746595
0.051433504,1.7466209,1.280071,1.0951587
-0.07304267,1.7066609,1.1941077,0.91401106
0.030655265,1.8530469,1.4330392,0.9669335
0.018727884,1.7759306,1.378451,1.1026684
0.07340641,1.6895794,1.2682213,1.1496803
0.14165813,1.7664863,1.291148,1.179416
-0.119248584,1.7861912,1.3490717,1.0958314
-0.065047115,1.7736809,1.2995667,1.1417065
0.08163686,1.651415,1.4179907,1.1934997
0.09507112,1.6610543,1.4184495,1.051042
-0.08724683,1.6348503,1.3726256,1.0966908
0.09627257,1.6774766,1.3114816,0.946363
-0.06859195,1.7431486,1.278149,1.0599155
0.13996446,1.7408181,1.283442,0.98391163
-0.13914764,1.8732052,1.3747082,1.1418891
0.115665376,1.7191323,1.3262023,0.9621869
-0.07241666,1.9007618,1.2635162,0.9911494
0.08967991,1.6531019,1.1665516,0.9672446
0.0518274,1.5884277,1.3012704,0.9643284
-0.053478137,1.6488154,1.4100177,0.91640776
0.041024566,1.7141746,1.2321709,0.92008185
-0.06683164,1.8744328,1.1574199,0.95493335
0.03156227,1.8283235,1.3268206,0.9459659
-0.0721316,1.8323492,1.2947149,0.9369725
0.13014981,1.8258481,1.4299537,0.95600593
0.07194783,1.6501093,1.2927651,1.0589572
-0.12714176,1.8151481,1.2431344,1.1170914
0.12150282,1.9076104,1.1876669,1.1960851
-0.13324407,1.6289463,1.4180392,0.96393293
-0.04305754,1.6045521,1.4411094,1.0183467
-0.0017159879,1.6032372,1.2802567,1.0197384
0.038058043,1.6693196,1.2315013,1.0031432
0.14841196,1.854646,1.3412304,1.0466682
-0.07633798,1.7147691,1.2522691,1.1564875
-0.071441926,1.6205258,1.3078201,1.0422572
-0.08848187,1.8448707,1.3446391,1.1179075
-0.011021167,1.6350396,1.2698339,1.1749442
-0.010777846,1.7177908,1.4613637,1.1308974
0.022449628,1.7214333,1.3569807,1.1284962
0.068295315,1.7952135,1.1963545,1.141155
-0.051061302,1.868234,1.189467,1.0637522
-0.06514435,1.8140801,1.2834805,1.1084461
-0.14397337,1.6878825,1.4114687,1.1029868
0.14023358,1.7907764,1.4282821,1.0845408
-0.04915048,1.7787194,1.4362433,1.0768423
0.049499243,1.8321455,1.3214787,1.028858
-0.09520365,1.6812688,1.4836273,1.079998
-0.08984667,1.657535,1.3672973,1.027052
-0.12518798,1.853393,1.1376694,1.0519464
-0.058679193,1.8524969,1.3322995,1.1448028
0.020065159,1.6499977,1.2882332,1.0700732
-0.129649,1.7654432,1.3367887,1.1676295
