A,B,C,D,E,F,G,H
0.5851423,0.6387571,0.7483257,-0.034288287,0.6195817,0.047886357,0.88926256,0.8841299
0.39248353,0.6514403,0.6244258,-0.04614576,0.45439988,0.0016055107,0.93743515,0.72552997
0.50556874,0.5501858,0.62959707,-0.1179875,0.51249766,-0.046940945,0.8555671,0.81805146
0.5605713,0.67513764,0.70845455,0.10106054,0.4109266,-0.13227026,0.918852,0.8412312
0.4510045,0.61402786,0.6370768,0.11762747,0.40101305,-0.0772557,0.6735874,0.7802421
0.40814686,0.8603531,0.72409505,0.14505923,0.5935664,-0.005033955,0.70585907,0.65992475
0.44608787,0.56176466,0.6472389,-0.013588637,0.48260358,0.063531,0.64982057,0.74367994
0.59814835,0.803219,0.54582727,-0.048015527,0.45625883,0.06698249,0.68509924,0.88700676
0.6086492,0.6801959,0.64598864,0.14243597,0.47927034,0.0900705,0.77873385,0.8178748
0.5641874,0.61653745,0.7768255,0.046642363,0.4978301,-0.12851468,0.6376369,0.81480205
0.4955599,0.70080316,0.77181756,0.0005175024,0.50724363,0.061492026,0.9019872,0.89307165
0.3620782,0.6712146,0.8277176,0.0074956715,0.37637436,0.11449045,0.7357845,0.954707
0.43922055,0.58158004,0.79101586,-0.122885145,0.4400209,-0.042958222,0.8346763,0.8252903
0.5565156,0.67114305,0.5586925,-0.06649068,0.34707266,-0.1415077,0.83810395,0.95096606
0.5577626,0.6400276,0.77154094,-0.10927881,0.38784146,0.08698891,0.7795762,0.8740578
0.33369035,0.76068354,0.8522327,-0.09000948,0.35799217,-0.09679015,0.7683407,0.68087834
0.46938407,0.7049187,0.7436386,0.051213756,0.43694705,-0.035002433,0.6682867,0.8685576
0.45707864,0.8222374,0.58943534,-0.079552084,0.45797288,0.06267229,0.871052,0.8927108
0.3933049,0.60733086,0.6418756,-0.004390657,0.42900825,0.09755103,0.86995673,0.7382641
0.59718615,0.5551166,0.5731416,-0.110364966,0.62705374,-0.09350385,0.7137478,0.76888204
0.41608655,0.59657514,0.58131707,-0.11361938,0.62090087,-0.10212524,0.7249931,0.68157256
0.44742787,0.6320473,0.5203843,0.04577516,0.5081283,-0.07697586,0.79182446,0.6627625
0.5745832,0.5809249,0.5884484,0.09044482,0.4306655,-0.011962324,0.68273216,0.78249377
0.6071297,0.783871,0.77079326,-0.09310232,0.5637392,0.114771426,0.7176435,0.6586437
0.48782754,0.65357804,0.76236296,0.07804842,0.601147,0.13106605,0.80054015,0.7002865
0.5288639,0.57850784,0.7323443,-0.13954756,0.63463414,-0.07198908,0.8655148,0.8248351
