A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
0.21834642,-0.25263703,0.66516066,-0.092060775,0.08359209,-0.071467854,-0.1297329,-0.13118759,-0.020358577,-0.013386756,0.0858476,0.16351645,0.12155917,0.111032486,0.051157236,0.13109675,-0.29120433,0.12827647,-0.06462182
-0.29580402,-0.055544123,-0.17444427,-0.060761258,0.14221615,-0.23100407,0.114231646,0.1644202,-0.041626617,-0.09576937,0.0042797476,0.08071999,-0.042050958,-0.045688286,0.119303524,0.12234634,0.19953018,-0.10417892,0.031033397
0.05342722,0.018493101,0.01383175,-0.08712477,0.0027661026,0.3043365,0.010214508,0.07112105,0.13499936,-0.085725635,-0.006797433,0.08365923,0.08243184,0.017883167,-0.048085414,0.12466374,-0.18580022,0.05016488,-0.009811312
-0.057002276,0.22194998,0.100177765,-0.04890155,-0.0021247715,0.20848031,0.05777684,-0.02097065,-0.10152212,-0.097130835,0.054251164,0.10206883,-0.09000686,0.033623457,0.1350776,0.12357268,-0.011469401,0.0038334876,-0.012659475
-0.00586275,-0.16506174,0.18234098,-0.0725279,0.068582386,0.063062064,0.119271755,-0.06664156,-0.0549772,0.07201649,-0.13027027,0.14715105,0.015975788,-0.11900188,0.13446853,0.104984075,0.0035568923,-0.13536382,-0.07610418
0.043272197,-0.2152096,-0.015575051,-0.16677088,-0.017067075,-0.059684776,0.13167036,-0.13916737,0.050547108,-0.06961454,0.081759185,0.053656578,0.08806409,-0.05117839,-0.061142333,0.018307418,0.058515273,0.016922578,0.050054938
-0.013714723,-0.21650317,-0.077625096,0.037145734,-0.09371288,-0.15127486,-0.1481979,-0.1750017,0.08905399,0.13436934,0.08632189,0.0010624975,0.074062094,-0.09462809,0.120193005,0.03794709,-0.02395346,-0.079484835,-0.08653041
0.06797493,-0.29044256,-0.074530125,-0.036464497,-0.1401031,-0.24773802,0.14471474,-0.1254804,-0.06329736,0.058450088,-0.11575131,-0.21259269,-0.13654497,-0.031362914,0.06029874,0.11513561,-0.078806415,-0.10862607,-0.03877105
-0.036863357,-0.08811954,-0.3403492,-0.19481203,-0.14586812,-0.055636153,0.009763539,0.1096702,0.07171123,-0.114156514,0.00040724874,-0.250768,0.0793096,0.13235915,0.11291775,0.13800836,0.11656473,-0.018909574,0.12925479
-0.0025538802,0.052279644,-0.10764691,-0.004477963,0.08744484,0.09694401,-0.035393625,0.25130123,-0.03319066,-0.07829358,-0.11524618,-0.13174851,0.14251474,-0.07403829,0.07246603,0.029472746,0.009325147,-0.029346265,-0.11976357
0.14110395,0.22021377,0.011295363,-0.047398105,0.13173446,0.37055397,-0.067672566,0.026089199,0.060515106,-0.03146691,0.06356935,0.14897081,-0.0138053,0.0054819733,-0.13025258,0.0821059,0.09995237,0.02348569,-0.07146226
0.16022363,0.307437,0.27712327,0.0074961632,0.06347346,0.14129964,0.029182494,-0.06189643,-0.04777783,0.06641078,-0.018169045,0.033753753,-0.14251484,-0.114656836,0.14138442,0.18753728,0.09443099,-0.027087435,0.12067518
0.22125337,-0.0016538054,0.37660992,0.030912697,-0.0908041,-0.18845044,0.14792395,-0.034021333,-0.083293915,-0.060177773,0.1369167,0.1734613,-0.012585998,0.06058158,0.09936483,0.20973666,0.2107465,-0.101205334,-0.09507412
0.1256252,0.1967449,0.014929071,0.119381204,0.07691167,0.078381404,-0.10606056,0.18340074,0.08836268,0.007479176,0.010385305,-0.20921502,0.06946324,0.037373275,0.09387727,0.2825979,0.1523582,0.11760694,-0.0467776
0.1575091,0.22781026,0.106285416,0.027351782,-0.10474588,0.27075633,0.04810363,0.06768276,-0.0042393357,-0.115575746,0.13067117,0.04762374,-0.118893035,-0.107469395,-0.015584722,0.4049223,-0.023842126,-0.021077752,0.09326789
0.08150551,0.23752911,0.27701217,0.0067390054,0.09573157,-0.030463353,0.021984637,-0.14124215,-0.104266286,-0.1243411,0.104478925,-0.1154204,-0.10127534,0.068589985,-0.12679048,0.30715412,0.14358076,0.11100593,0.06701602
0.09369901,-0.03504403,0.32010955,0.11171998,0.033957407,-0.288536,0.050380275,0.012629785,0.016626999,-0.11930198,0.109758794,0.15842432,-0.12533586,0.001013279,-0.05795133,0.40171772,0.18341053,0.14017826,-0.13635267
0.14441937,-0.035950176,0.016623959,0.026345916,0.0042673796,0.11999909,-0.14437579,-0.120823905,-0.06285566,-0.058063053,0.070902824,0.29391867,-0.08424619,0.12866265,-0.008492395,0.49933806,0.19557801,-0.0053723007,-0.05616902
0.25308806,0.004983425,-0.08919131,0.09244022,0.07923217,-0.1736817,0.04335098,0.075815454,0.07984437,-0.01093483,0.005136758,0.08639823,0.022917852,-0.04792446,0.09278396,0.40993762,0.006628588,-0.05492156,0.076921955
0.005344227,0.27442944,0.12873441,-0.038055733,-0.06485614,0.059748426,-0.09086849,-0.15896925,-0.10414131,-0.11199255,0.058265314,0.11846345,0.018204436,0.044685215,-0.10322487,0.46012443,0.34201974,-0.09744765,0.0511802
0.43751454,-0.0071216077,0.3354802,-0.05995381,0.060871005,-0.17392793,0.040964544,0.12923281,0.040619463,-0.022001177,-0.074339606,-0.057633355,-0.06534593,-0.07475288,-0.09549335,0.60722613,-0.06772952,-0.0286927,-0.09608637
-0.11708436,0.5995891,-0.0053249,0.018771298,0.098621935,0.23489393,-0.12641034,-0.15949127,-0.10782203,0.07636857,-0.060513876,0.021433987,0.121508,-0.13650669,-0.070935525,0.46436363,0.5809189,0.12538147,0.04279284
0.68149334,-0.2759475,0.627441,0.08512134,0.12502423,-0.15946484,-0.044857733,0.007472232,-0.03383194,0.053483486,0.0992074,0.25541753,-0.0690973,-0.13390228,0.021556139,0.5298514,-0.13829255,0.0719613,0.09635426
-0.24224342,0.57225305,-0.25001666,0.13873744,0.019136593,-0.06580173,-0.094445005,-0.10120581,0.13145342,0.12299505,0.08237128,0.081112735,0.109365135,0.04917921,-0.005346626,0.59837043,0.68172807,-0.13491473,-0.05700358
0.8263248,-0.4882304,0.47998306,0.0144435465,-0.100350045,-0.15993261,0.108469695,0.1923698,0.048288405,0.09489635,-0.032169007,-0.0013323873,0.11982381,0.100397736,-0.14107987,0.7185144,-0.34043702,-0.032489687,-0.0882494
-0.45171916,1.0610439,-0.54098475,0.085723735,0.11133051,0.24423897,0.037298083,0.21942759,0.028830051,-0.025199376,0.11755657,-0.27402356,0.0023946464,-0.055250913,-0.046283484,0.80023223,0.8187836,0.049050674,-0.006518781
