A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q
1.2563047,0.512218,1.257376,0.114699915,0.52091753,0.067553,-0.03802275,-0.10082361,-0.07610092,-0.053422347,0.61547244,0.019697323,0.5245464,0.4099804,0.0018405616,-0.02517341,0.09926337
1.1123657,0.26822615,0.9756458,0.3468917,0.6730726,-0.075508475,0.110329926,-0.09447496,-0.10086241,-0.008804321,0.7323396,0.078020826,0.23786384,0.60842323,-0.09809944,0.14969592,0.10118371
1.2783933,0.2788224,1.0385854,-0.02696082,0.74539155,-0.13166611,-0.008007497,0.09648366,0.08341473,0.0066030473,0.45681262,0.019459948,0.4944936,0.7132432,-0.11096877,0.26923883,0.09146419
1.2552801,0.4736441,1.2438792,0.15185466,0.7053519,0.11694375,0.13923284,0.014575601,-0.0037607998,0.017779559,0.6919071,-0.030232966,0.27874842,0.76597184,0.027847618,0.3496703,0.046743453
1.356699,0.5359355,0.995155,0.23643504,0.68373364,-0.04191567,0.038307816,-0.07454671,0.0919482,-0.047836892,0.47546262,0.03420171,0.47533977,0.88166744,0.042042926,0.098607674,-0.112308815
1.1376029,0.16879117,1.0428393,0.31095397,0.7938188,-0.056937456,0.0626048,0.10983211,0.10159165,-0.148702,0.61663973,-0.05308859,0.44148612,0.7181809,0.10501069,0.19516435,0.056139812
1.1602192,0.43471557,1.1268412,0.40901434,0.6662262,0.0036117136,0.091169536,0.13446689,0.016414642,0.08895506,0.6172514,0.08941592,0.49883023,0.8391641,0.029356256,0.3712796,-0.07102962
1.2747744,0.72929066,1.0465047,0.41195205,0.88038325,-0.025622465,0.05788584,0.09163453,0.04614456,0.02562666,0.56124127,-0.009205252,0.6676766,0.8028506,-0.026786797,0.10315129,0.073283225
1.3066074,0.2570454,1.2752956,0.15283461,0.79642886,-0.07544336,-0.02447857,-0.06455387,0.082503825,0.08097164,0.7038317,0.0048595667,0.6791899,0.8225759,-0.12511846,0.31882352,0.0005361438
1.3560693,0.41316298,1.2037947,0.33090574,0.7000196,-0.134001,-0.00015443563,-0.04441107,0.14280164,-0.024412498,0.74970186,0.11769083,0.3629408,0.75153,-0.04755517,0.3723106,-0.07232779
1.3358871,0.34588045,1.055665,0.092413925,0.96994615,0.13171557,-0.05559873,0.06893471,-0.13045081,-0.016143441,0.5279443,0.03758122,0.428809,0.98481554,0.11707869,0.32001638,-0.093188524
1.2660663,0.7206098,1.2444848,0.22386777,0.8340608,0.12472406,0.09126611,0.13510844,-0.04681903,0.10184604,0.7613143,-0.1274859,0.1787357,0.5695947,0.076808706,0.39257973,0.06576952
1.1242281,0.74614465,1.1667858,0.413583,0.73998874,-0.070414014,-0.001431793,0.020397961,-0.09362097,-0.13719621,0.42322898,0.12972891,0.61476624,0.73804003,0.03788662,0.21382545,0.14484599
1.1338842,0.4007765,1.0705564,0.44651908,0.6266427,-0.09650805,-0.08346067,0.032252282,-0.12597758,0.078777015,0.6398506,-0.07326903,0.6424607,0.61534107,-0.1282771,0.44491646,-0.10011363
1.0600852,0.4630364,1.175062,0.2088795,0.8468951,-0.08890197,-0.11290954,0.07230429,-0.07704488,0.01205574,0.91815376,0.12944975,0.55914617,0.5951265,0.062087193,0.3983462,0.08420752
1.1142379,0.49064738,1.1374735,0.104773305,0.8501237,0.021448404,-0.10393478,0.081305176,-0.0169051,-0.033499934,0.8620993,-0.11606021,0.5716406,0.81300724,0.066093296,0.14710994,-0.08581408
1.3236289,0.32861692,0.9320127,0.31631517,0.8070331,0.015559077,-0.10961518,0.07882364,-0.123468235,-0.13427342,0.8699552,0.0039400607,0.46027425,0.96572423,-0.0026958585,0.1690816,0.032232195
1.1947005,0.32549453,1.0614823,0.37394014,0.85020196,0.1239973,-0.1284541,0.1283603,-0.068960756,0.034783766,0.56424516,0.07351716,0.42132786,0.92544717,0.007310003,0.49910754,-0.08898738
1.4239872,0.8006172,1.2259443,0.23674019,0.8259737,0.096797526,0.14404172,0.060109556,0.13366514,-0.083913215,0.7314477,0.05236259,0.65931404,0.6296598,0.021890476,0.18459234,-0.13600528
1.2938025,0.65207577,1.2655635,0.34637314,0.94982284,0.08537693,-0.005331874,0.026736006,0.09912868,0.11461887,0.766702,-0.011610061,0.41647276,0.8661392,0.004875347,0.33072603,0.009963632
1.3215673,0.629747,1.170649,0.25471392,0.7948581,0.07689296,0.14484844,0.10635933,0.012862116,-0.028095834,0.7725931,0.14673477,0.66859543,0.85602814,0.050592855,0.21031171,-0.05613526
1.1949596,0.41239628,1.0729915,0.10823725,0.9772221,-0.08276925,0.08909236,0.09761967,-0.052972093,-0.14445138,0.93975997,0.11104873,0.4321739,0.9263431,-0.09283711,0.22560337,-0.011043444
1.2811089,0.31616703,1.1345068,0.25398526,0.958223,-0.009794012,0.077362746,0.107895195,-0.05568611,0.03011237,0.5647881,0.053303733,0.18739939,1.0678163,0.0057174712,0.35507697,-0.023106039
1.292061,0.4403249,1.2589202,0.1586362,0.7013464,-0.09121594,-0.021788046,0.1248382,0.06608042,0.07925147,0.36880705,0.048178017,0.520111,0.78169966,-0.015025124,0.12025973,0.11575854
1.2851635,0.14247826,1.078176,0.29878965,0.53366053,0.028459668,0.06520581,-0.007745832,-0.089288905,0.01826042,0.71700776,-0.017627403,0.4055216,0.55354095,-0.04481782,0.16777809,0.09373544
1.1707522,0.54719007,1.1113386,0.07061535,0.90146327,0.099604785,-0.06982291,0.13792813,-0.031500846,0.13437414,0.53233755,-0.103694886,0.6383151,0.9200782,-0.047333695,0.2470312,0.14219362
1.3301854,0.7072567,1.1918025,0.47791004,0.80152357,-0.027198978,-0.02468741,-0.013311654,0.07292698,-0.14962974,0.80863523,0.08207871,0.38144886,0.5826825,0.123076916,0.23921089,-0.066246204
1.1068336,0.4369921,1.0792797,0.29207122,0.7522138,-0.058619983,-0.13932349,0.09036969,0.10012606,0.14400288,0.5727753,-0.14679076,0.77398425,0.85769224,0.042419046,0.272262,-0.0765242
1.3672031,0.56753266,1.1725374,0.4159655,0.7284919,-0.060863167,0.12671113,-0.11432001,0.05894409,-0.13210592,0.7504066,0.000840351,0.44350842,0.78343225,0.050336704,0.39132106,-0.008495867
1.1645527,0.5388515,1.0482596,0.3445779,0.87782234,-0.10503604,0.13383362,-0.12648869,0.056401238,0.07743882,0.6371933,0.059296325,0.7031932,0.85324943,0.12566608,0.3163109,0.008063093
1.2042252,0.45384827,0.95901084,0.1822876,0.8537561,-0.06120549,-0.1287563,-0.05472227,-0.019286975,-0.12166399,0.8767048,-0.11755758,0.4872744,0.7297295,0.12640959,0.21921763,0.0981684
1.2955076,0.49988222,1.1792167,0.33530572,0.8669404,-0.02272065,-0.008055687,-0.089445755,0.12422907,-0.028293394,0.6790062,0.07699011,0.3088681,0.8574496,0.021711856,0.11253234,-0.06602594
1.3880196,0.216993,1.0105473,0.2848372,0.9281758,-0.14099702,-0.07873162,-0.07233533,0.0037644058,-0.056057848,0.42007232,0.13162607,0.5689499,0.89984703,-0.04778123,0.42123276,-0.034213208
1.4911677,0.6410055,1.1962684,0.22241038,0.60813487,0.022635609,-0.11563356,-0.14093602,0.04872884,-0.12038304,0.73243725,0.04238777,0.49813348,0.62491244,-0.03569448,0.077264786,0.0052491874
1.0252398,0.27349624,1.2883595,0.28875232,0.83529574,0.10084313,0.0715967,0.08225371,-0.032937743,-0.08215748,0.7349846,0.086144015,0.54376554,0.8696564,0.050776735,0.2602645,-0.13538677
1.3599244,0.5322952,1.0211505,0.42620522,0.92920816,0.115162104,0.045217037,0.1442546,0.10305181,-0.048472576,0.8253703,-0.042641006,0.6060903,0.7531086,-0.046162874,0.1105396,0.12843448
1.3356194,0.37155676,1.0302732,0.31637132,0.94344634,0.123651475,-0.11963949,0.07842626,0.07940626,-0.018607467,0.8412219,-0.0035563111,0.7364699,1.1109481,0.05204557,0.42541447,-0.022079736
1.4379579,0.60693693,1.0124332,0.22182943,0.8908983,-0.113934025,0.02175188,-0.046039745,0.11947632,0.092799395,0.7636614,-0.06616949,0.7100024,0.9614421,0.12755707,0.42899087,0.09637201
1.5022681,0.6209026,1.2645264,0.3954577,0.973506,0.07953738,0.025282532,-0.14530616,0.14174321,0.013685375,0.8851057,-0.041605644,0.35288262,0.80548894,-0.12811497,0.24068053,0.07961325
1.248636,0.5197222,1.1373066,0.222112,0.87237006,-0.10121958,0.12298888,-0.072038755,0.052312344,-0.033677638,0.44616362,0.06014116,0.66548574,1.1356673,-0.033600055,0.43074578,0.042362794
1.5115271,0.6812542,1.0795221,0.17525622,0.76155174,-0.026989602,0.08607742,0.13797891,0.07053025,0.09159127,0.67027473,-0.10958959,0.56529,0.82914716,-0.09216725,0.36429054,-0.028895475
1.3018726,0.5096178,1.1344546,0.1563026,0.7663261,-0.025561325,-0.047088973,-0.1219762,0.10787031,0.032755405,0.78995943,0.0010756403,0.28836155,0.866271,-0.08223027,0.40001202,0.020402595
1.1361809,0.6370788,1.0794165,0.16903554,0.83143705,-0.050606616,0.105348855,-0.11451635,0.12561119,-0.080683425,0.40128553,0.13080618,0.2687249,0.81489515,-0.0969982,0.46659878,-0.11762816
1.2906091,0.7088366,1.0382333,0.30337256,0.5627177,0.13665065,-0.09632963,0.13697267,0.11548412,-0.13329667,0.47970146,-0.06890629,0.5188226,0.70873106,-0.0607623,0.23243155,0.08218731
1.0362413,0.7087337,1.0722873,0.5042308,0.80026555,0.053031355,-0.07005825,-0.07769491,0.10708302,0.004942119,0.84699553,0.07184906,0.40710366,0.73885727,-0.1007956,0.43438107,-0.14918223
1.340839,0.8384384,0.9779935,0.11825776,0.9897172,0.13680008,-0.08959371,-0.097837016,-0.06377183,0.0044245124,0.690694,-0.020077646,0.7010062,0.8996322,0.10624063,0.23963413,0.10499123
1.350167,0.74223816,1.2217991,0.17888238,0.91994375,0.12520319,-0.011937633,0.02447465,-0.027696542,0.0036227554,0.7789769,0.018920496,0.19397072,0.92627954,-0.082203664,0.2751719,0.04529123
1.4012059,0.5713011,1.2479551,0.13809782,0.76078904,0.113802314,0.13720289,0.031266168,0.017868266,-0.11327474,0.46755502,-0.021033093,0.4999575,0.9659903,0.04291354,0.30479407,-0.14594014
1.1946297,0.6747545,1.0584099,0.3473913,0.6960263,-0.11075707,-0.07146142,0.032981977,-0.07263751,0.09101756,0.72818875,0.06540805,0.24392469,0.66742295,-0.058616966,0.1945908,-0.13832879
1.2179102,0.3907212,1.1857892,0.19229524,0.7606158,-0.07988688,-0.059314817,-0.038239256,-0.033032767,-0.07564851,0.44075823,-0.13540001,0.54066443,0.78726536,-0.0986219,0.275113,0.055323347
1.2648653,0.3417548,1.0838501,0.37925762,0.6604149,-0.09834558,-0.09886028,0.037671134,0.025046483,-0.06968969,0.6287106,-0.0009456277,0.46643186,0.64256465,0.12507051,0.17846563,0.13495949
1.1146835,0.25399798,1.2412779,0.39368933,0.7854609,-0.09961355,0.14350376,-0.106416754,-0.13188055,0.05844748,0.67628676,0.006085545,0.7086077,0.79874015,-0.03158305,0.3072374,0.07776412
1.153305,0.5751922,1.1821529,0.27997756,0.76312226,0.025285617,-0.09250285,0.14232305,-0.0140379965,0.06273112,0.9690808,0.13583803,0.49406266,0.60715926,0.06697795,0.440176,-0.05143252
1.0902513,0.6106775,1.0673529,0.16414928,1.1012689,-0.04984469,0.11215204,0.03772232,-0.14725308,-0.13703746,0.79378957,-0.11306697,0.4725172,0.9115803,0.085816965,0.06128019,-0.12189802
1.5047,0.08604421,1.0939438,0.322631,0.7637695,-0.020990327,0.10140142,-0.12608528,0.051375166,-0.14827526,0.59542644,-0.0548962,0.2562235,0.8851741,-0.072964296,0.3889121,0.079426646
1.3416474,0.6307042,1.2066603,0.25780258,0.7525858,-0.051213652,0.038926512,-0.08407361,-0.046247758,0.10369724,0.45279515,0.12702784,0.6463846,0.6587307,0.045137882,0.104803905,-0.023432553
1.0496125,0.26290047,1.0852417,0.22875094,0.7422734,-0.058375187,0.09713295,-0.034904145,0.08325103,0.13104245,0.76576877,-0.101311594,0.49025977,0.66767335,0.051006064,0.17439857,0.09274043
1.2365773,0.25839686,0.98163074,0.35424733,1.0179286,0.09424059,-0.03409177,0.13895199,-0.11673146,0.056188926,0.6616978,0.13866553,0.58454716,0.8031946,0.0660072,0.1776049,0.023597866
1.3755445,0.63832843,1.1257913,0.11899252,0.8804939,0.1334764,-0.037968278,-0.023463339,-0.007511705,0.10640094,0.62981385,-0.08841695,0.74153155,0.59704703,-0.05494888,0.45063043,0.005145788
1.2579,0.8614445,1.3057153,0.25297397,0.8448649,0.080347806,-0.1310027,0.12951261,-0.066076845,0.09084366,0.9784599,0.014461741,0.31900138,0.83107996,-0.08233969,0.07927274,-0.05257956
1.1776515,0.5268656,1.2218904,0.17870046,1.0845456,0.009044141,-0.11266914,-0.11194463,-0.043720596,-0.09836619,0.49474517,-0.032381043,0.6447398,1.0273356,0.08837061,0.14686845,-0.07337115
1.4766088,0.25591135,1.1027023,0.24113819,0.6782907,-0.13084346,-0.11771958,0.14623469,0.0734988,-0.14955863,0.8284267,-0.04476673,0.55777794,0.6386623,-0.017231047,0.13401705,-0.07767299
1.2347676,0.19346154,1.2226743,0.25033092,0.8295802,0.01877217,-0.059198342,0.008253604,0.10112733,0.09881075,0.8011718,-0.051232733,0.56854665,0.9625584,-0.08561948,0.2672952,0.10477823
1.4259956,0.6480111,1.1179655,0.31126738,0.93889284,0.11056286,0.14140788,0.12823123,0.14857492,-0.11096771,0.6735088,-0.0777019,0.6499032,0.9993443,-0.062132746,0.17660633,0.042276666
1.3151658,0.5101499,1.0910112,0.43937066,0.803312,0.13105583,0.12367359,0.015108734,0.068601206,-0.04792212,0.9121262,0.060865656,0.68519855,0.97615045,0.08392532,0.38078064,0.09937431
1.4550959,0.82936746,1.1967287,0.24133423,0.93119305,0.09736964,-0.09711137,-0.13024497,-0.12452197,0.058164313,0.7129844,0.09059927,0.6794606,1.0948159,0.12775058,0.206724,-0.020544037
1.3955808,0.543142,1.2430327,0.1239322,0.9749421,0.110642046,-0.0128160715,-0.0077082515,0.09586921,-0.12652022,0.797353,0.07240245,0.37495834,0.6796578,0.099857524,0.2531485,-0.008809909
1.3224522,0.6152689,1.0552938,0.3575207,0.8912759,-0.06314759,0.09815472,-0.051404305,-0.119695194,0.072101876,0.49154496,0.0037720203,0.25533623,0.98881114,0.024007857,0.32829618,-0.11114283
1.2789246,0.44248998,1.2409983,0.41480237,0.8232765,-0.14664263,-0.018088877,0.117299736,-0.08072997,0.03367427,0.50946593,0.040701076,0.73838025,0.54204756,-0.09310379,0.37508836,0.09680027
1.2113765,0.46710336,1.1228019,0.26615262,0.75355434,-0.017323852,-0.14717071,-0.060810655,-0.14847045,0.068266645,0.7102432,-0.14305593,0.5371803,0.6492077,0.014025435,0.2001049,-0.071868345
1.2688655,0.30838853,1.0891943,0.4065318,0.9537652,0.109510064,-0.0889374,-0.08240285,0.101415455,0.119846314,0.65222824,0.114332944,0.40050972,0.6497252,0.13194981,0.47812295,-0.07492735
1.3101256,0.6735133,1.1134173,0.28679064,0.73370427,0.095302,-0.14157346,0.023028895,0.08016886,0.008831829,0.7028412,0.0027326643,0.70791316,0.9234979,0.0759881,0.412385,0.06041287
1.1782835,0.7648913,1.0755328,0.17221053,0.964566,-0.034590125,-0.05336117,0.10449064,0.004519254,0.00056254864,0.8487162,0.06343992,0.4328346,0.9601842,-0.11801493,0.26692075,0.048271716
1.2505853,0.5738191,1.0619929,-0.022282746,0.99822176,0.04114169,-0.14255412,-0.07106833,-0.015262574,0.10197589,0.52315956,-0.00013050437,0.41781312,0.7950531,0.06677528,0.19745886,-0.014047384
1.4288127,0.528905,1.197462,0.23975366,0.7544299,0.111649394,-0.12053014,0.11287892,0.11825156,-0.12845828,0.67276716,-0.1454946,0.08551805,0.6270005,0.057140663,0.12317766,-0.062705934
1.1150172,0.60216224,1.2787032,0.24910304,0.81339175,-0.1470463,0.026897028,0.112357885,0.07618211,-0.11843398,0.28289762,-0.028872587,0.531475,0.8216231,-0.094028324,0.3187888,-0.009800613
1.1955609,0.43824118,0.92311686,0.46291193,0.49383625,-0.08318051,-0.02529075,0.07393831,-0.083913825,0.12618846,0.82028234,-0.032396257,0.5420084,0.678426,0.06866841,0.24667898,0.11810562
0.96475506,0.42209035,1.2424158,0.2834052,0.94522166,0.10007706,0.11670828,0.11253452,-0.1421869,0.1438891,0.65779865,0.032772988,0.5317329,1.0074474,-0.09459161,0.375122,-0.12733155
1.338218,0.6279684,0.83469963,0.37416023,0.69164354,0.12595958,0.039683327,-0.07005516,-0.13404828,-0.070353,0.7148914,-0.06352431,0.44765076,0.86428535,0.14379305,0.4933474,-0.053742602
1.2945215,0.66505563,1.0722305,0.13336734,0.9397571,0.10742429,-0.002688527,-0.12804869,0.045528904,0.11615005,0.5787112,0.10675374,0.6310049,0.75920576,-0.08185827,0.49642262,-0.14095572
1.322189,0.8256551,1.0874232,0.25146502,0.61862504,0.13826951,0.022749245,-0.018329382,0.12125647,-0.13294807,0.65628886,-0.069897406,0.44272524,0.8475268,0.021035329,0.12738806,0.11572504
1.2507443,0.5831945,1.0039134,0.29162598,0.70428014,-0.14639097,0.067774296,-0.04889106,-0.053580508,-0.028200425,0.56773907,-0.14170101,0.41804624,0.7588244,-0.022716254,0.46335858,0.039749607
1.2158277,0.6399609,1.094104,0.18625896,0.7758106,-0.07128291,-0.11869126,0.0906816,-0.14710954,-0.13677856,0.6815108,-0.00849995,0.4964141,0.75695014,0.03623262,0.33193204,0.048623323
1.310782,0.6008581,1.1366783,0.37313133,0.73262286,-0.08676301,-0.07104653,-0.09173581,-0.022319749,0.010888949,0.8007062,-0.0063191205,0.3612301,0.8033029,0.12466568,0.25930256,0.13131115
1.2015564,0.44981772,1.079973,0.064553514,0.9535872,0.015432596,-0.07580456,0.093727246,0.1382452,0.06853321,0.6539128,0.08476867,0.697508,0.95906574,-0.06825367,0.13357101,0.059956327
1.3861992,0.29075062,1.0927681,0.3266735,0.7985388,0.027654082,-0.11006193,0.13642037,0.06710374,0.05223964,0.8616579,-0.030985378,0.25446814,0.84606093,0.13707289,0.40735328,0.0027818829
