A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0.046270274,-0.021319628,-0.03159099,0.103072315,0.33620727,0.059281915,0.12541357,0.1310615,0.14840733,0.022310376,0.42444724,0.10435361,-0.008788705,-0.05655256,-0.026402414
0.23781165,0.07461983,-0.04074537,-0.06921017,0.3749389,-0.14881141,0.065293595,0.25336367,0.20126042,0.053279564,0.44703197,0.036335513,0.05629465,0.08054903,-0.14262906
0.3496935,0.13318232,0.011765391,-0.12723523,0.13081333,-0.006205499,0.124409914,0.37766027,0.103780694,-0.07003382,0.55697405,-0.14083192,0.08315019,0.0055924803,-0.12839395
0.08554678,0.08474645,-0.09032708,-0.12571788,0.3285551,-0.02974663,-0.017515108,0.23912562,0.4051966,0.13322693,0.6203711,-0.024093509,0.05408004,0.051201805,-0.0971975
0.22962031,0.0019167066,-0.08269308,0.11550254,0.2809811,0.1338239,-0.07673307,0.4122088,0.18316227,0.07634409,0.7394923,-0.005152002,-0.14788282,-0.07518935,0.076371685
0.41702414,0.025570467,0.015271336,-0.13538796,0.12144959,-0.10340553,0.1138646,0.22898299,0.083924696,-0.107420616,0.5729779,0.059384987,0.11544034,0.008011416,-0.08497501
0.45602936,-0.12949073,0.10668048,-0.027957521,0.37025505,0.09773187,-0.016664863,0.24368049,0.12603141,0.11793959,0.42742133,-0.12014952,-0.12566002,-0.022538498,0.08162165
0.3821566,-0.09273754,-0.041926973,0.08665292,0.3087219,-0.07170988,0.050478086,0.048762456,0.24955843,0.07814911,0.17417505,0.017701045,-0.021475554,0.013089597,0.137389
0.36144,0.058032706,-0.0046465993,-0.08688117,0.08568266,0.001389116,0.07795796,0.3752411,0.2184584,-0.14335744,0.48375168,-0.019004166,-0.11506291,0.1055516,0.10214606
0.39905852,0.08993286,-0.013270602,-0.0030093193,0.14103678,-0.10680203,0.01650691,0.2860491,0.19220234,0.10750699,0.4602862,-0.03879583,-0.04974597,0.013178825,0.05883926
0.30474356,0.023244724,0.1479387,0.08157332,0.21022697,-0.1492042,-0.02760335,0.10782599,0.34267968,0.07553744,0.58004713,0.07194458,-0.009741634,0.018666655,0.060864076
0.6041092,-0.013740689,0.09962767,0.10118064,0.16283607,-0.053412043,0.08773154,0.24318546,0.3957127,0.09938264,0.49970353,0.04356523,-0.02743616,0.13688084,-0.05585497
0.1922105,0.14202988,-0.08659961,-0.08121731,0.13944267,-0.073326856,0.058845118,0.34206644,0.31519967,-0.06549069,0.7427161,-0.10046148,0.13813058,0.0015161484,0.07022619
0.35346952,-0.017934307,-0.008829504,0.0849811,0.2173821,0.055866197,0.10044733,0.2615263,0.22387102,0.031019956,0.65494823,0.14113349,-0.051583312,-0.0763609,0.11942956
0.13732949,0.1489287,-0.01818858,0.07987392,0.29076713,-0.03420519,0.08723985,0.41411117,0.29247287,-0.00038346648,0.43466756,0.10645428,0.13053212,0.107590914,-0.10454479
0.48951593,0.004321784,-0.103147104,-0.08273399,0.33728468,0.11367571,0.06777476,0.13947442,0.28262243,-0.0313304,0.53673446,0.05296068,0.14745626,-0.040401295,-0.14859782
0.20731747,-0.14930785,0.09937295,-0.013057679,0.21709386,-0.092178285,0.053219363,0.31453252,0.099348724,-0.03837771,0.46859846,0.09010941,0.11731419,0.11363503,0.06837933
0.5604856,0.005676076,0.13479817,-0.013169035,0.40700743,0.006288767,0.09090677,0.18633854,0.2906255,0.1480731,0.14033145,-0.0690475,0.022739142,-0.12390565,-0.011763215
0.37344545,-0.07126771,-0.066940755,0.1276825,0.3068233,0.06359251,-0.08892746,0.010414645,0.2579786,-0.14656211,0.41578078,-0.0025250912,-0.13825962,-0.11453104,0.14314455
0.54323035,0.10106152,-0.107458636,-0.031282783,0.112722315,0.08233233,-0.10850461,0.22924459,0.1858078,-0.021059215,0.28641132,-0.06529278,0.09069505,0.013009697,-0.0029501617
0.20669696,-0.06273628,-0.08997716,0.11917603,0.16218947,-0.05461412,0.013142005,0.20043695,0.3705896,-0.011005133,0.47015357,-0.08621092,-0.1285256,0.017605051,-0.023872226
0.63852614,0.038151473,0.0027204454,-0.082834736,0.2576076,-0.12665305,0.057239413,0.42072082,0.30445638,0.00018882751,0.6164544,-0.085679434,0.013694286,0.07490334,0.05252719
0.30355948,-0.10867417,0.13680136,0.010975853,0.30302858,-0.1353815,0.014512971,0.42089355,0.23294908,-0.1348064,0.521325,-0.11800855,-0.054376677,-0.010381773,0.021219611
0.110433854,-0.1349067,-0.11031395,-0.03388288,0.3708929,-0.09447312,-0.14063607,-0.0038356557,0.48712632,-0.10762402,0.39692897,-0.087340385,0.08768785,-0.13108325,-0.04215791
0.4334118,0.024218902,-0.06322514,0.029981568,0.1764369,-0.0067956597,0.13790455,0.07568392,0.21570632,-0.012197912,0.66200256,-0.050047785,0.06400429,-0.13842799,-0.01406467
0.33197019,-0.04876875,-0.043001734,0.008538783,0.3463859,0.0027509779,-0.07357147,0.103588216,0.12908496,0.056492463,0.4639472,0.06399767,0.057585463,-0.09381232,0.06046231
0.36818427,-0.08816588,-0.1109761,0.06363283,0.37481904,-0.13508788,0.016995266,0.18126199,0.10939558,-0.08038087,0.2957238,-0.070689976,-0.0016767979,-0.017536849,0.004299909
0.3710926,0.14125961,-0.10650951,0.02695246,0.3991218,-0.03368613,-0.09943813,0.38717788,0.19841637,-0.014411986,0.030361146,0.10409433,-0.07654852,0.06003143,0.08796747
0.3093054,0.09380299,0.0833911,0.06839849,0.34810117,-0.04364761,-0.09544634,0.23018494,0.26407948,0.09207064,0.62588394,0.008816332,0.09702735,0.11143309,0.08935343
0.38789967,0.042190894,-0.1464248,-0.06663988,0.22298229,0.019665182,-0.1282148,0.2785005,0.012848511,-0.093798,0.67635936,0.06674218,0.14519483,-0.022106737,-0.14710611
0.35292137,0.10718462,-0.0047560185,0.11702901,0.2107962,-0.12537555,-0.013521194,0.16995642,0.16523011,-0.1389885,0.118639395,0.13084951,-0.11484231,0.1154156,-0.032153606
0.19287893,0.100985795,0.14349088,-0.1422385,0.45283484,-0.0975329,0.0012324601,0.21511884,0.44356596,0.057297587,0.5896821,0.07251218,-0.14934707,-0.089690745,0.1453265
0.2140248,0.05983594,0.009705603,-0.048226885,0.38268736,0.112496346,0.121796906,0.3582542,0.39748883,-0.04044448,0.67662686,-0.13248268,-0.14642514,0.14729726,0.06171085
0.38613597,-0.14586005,-0.09077506,-0.015825152,0.43052745,-0.082237154,0.11269975,0.2061685,0.3544137,-0.09218719,0.5478083,-0.11531456,-0.13781825,0.09715365,0.054264903
0.70684874,0.10666624,0.0060842037,-0.11609769,0.45662737,-0.014400661,0.12336302,0.007013388,0.43938524,-0.08265415,0.4243889,-0.031165391,0.10493344,-0.0013721585,0.07141659
0.27442765,-0.027419977,-0.08197895,0.046980903,0.03742908,0.11241871,-0.13941573,0.36147958,0.0717504,0.14193511,0.6633622,0.118599236,-0.067182094,-0.050407186,-0.021025687
0.23895745,0.04169911,-0.07169294,-0.019210935,0.27319542,0.14842486,0.0088806,0.1569427,0.31862208,-0.11693293,0.23999034,-0.11146483,0.10881144,-0.12071373,0.14946517
0.4187257,0.05711399,0.13671944,-0.08999683,0.33734536,-0.07065752,-0.0072534084,0.22636461,0.30898553,0.05456221,0.743755,0.08867063,-0.020734012,0.012763441,0.12824827
0.44114107,0.10025054,-0.007968023,0.09396602,0.2656915,0.013706893,0.1365298,0.4429091,0.19636372,-0.12134967,0.64912206,-0.10593932,-0.03195253,-0.10520901,0.11932218
