A,B,C,D
-0.12943882,-0.04636991,0.081341475,0.0020612627
-0.05443021,0.17355844,0.33274376,-0.02778411
-0.014068097,-0.044694155,0.13799302,0.057532772
0.10258433,0.33076662,0.2954267,0.14197543
-0.04143899,0.2518953,0.2845372,0.07424551
-0.14640972,0.19339381,0.36322492,0.12874281
0.04783772,0.31292552,0.22740719,-0.10920362
-0.09587433,0.25228047,0.49102873,-0.117494866
-0.094264224,0.29308993,0.29877502,-0.044365995
0.017345339,0.557862,0.39556125,0.07760888
0.07279846,0.28370494,0.34374994,0.09297553
-0.006711662,0.4044721,0.3796961,-0.043941133
0.032124117,0.26665723,0.45995083,-0.02491717
-0.036966994,0.38361925,0.24990466,0.11424461
0.1416457,0.3408022,0.4278135,0.014260769
-0.014077097,0.34828255,0.29442328,-0.11567509
-0.0449277,0.2947656,0.4888779,0.08787137
0.12904662,0.1786684,0.3649911,0.035657033
0.025802553,0.3864416,0.40815476,-0.10873976
-0.007963747,0.33286774,0.30147338,-0.10651463
0.10189062,0.2759626,0.5475749,-0.07952292
-0.12388713,0.23746955,0.34811872,-0.03994208
0.10368648,0.5186435,0.5805315,0.08771065
-0.02261968,0.45719415,0.25504723,-0.012146667
-0.06257606,0.4384743,0.5542661,0.10516843
0.13489464,0.28813422,0.3817602,0.0067428797
-0.08332935,0.52909076,0.61058015,0.13043466
0.12835738,0.23696655,0.4672613,-0.024122521
0.044337064,0.48485088,0.5143576,0.041991413
-0.090493426,0.3526392,0.3411303,-0.10708498
0.06157513,0.4244071,0.39560866,0.033349812
0.06096135,0.2619699,0.26537064,0.014122605
0.110711366,0.5062357,0.3779264,-0.11442887
0.023998588,0.35461557,0.33580184,0.022670045
0.014424086,0.4229878,0.28706515,-0.07090756
-0.13478786,0.2791326,0.18894604,-0.057006136
0.09767941,0.41047993,0.4254901,-0.10605439
-0.1302718,0.119414166,0.14634708,-0.074251294
-0.13201605,0.2893573,0.42683208,0.048227057
0.08713783,0.010954827,0.009633154,-0.07911506
-0.14536327,0.34828544,0.5727489,-0.12982486
0.039819792,-0.104825884,-0.01697468,0.09730269
0.017406791,0.6419628,0.60580087,7.839501e-05
-0.023726225,0.052924626,-0.07129326,-0.09422016
-0.08853382,0.61590445,0.67396665,-0.092097715
-0.018317595,0.0037584081,0.028789409,0.13839814
-0.043607533,0.7461447,0.6047151,-0.0863296
-0.075309336,0.11605688,0.13794935,0.10797888
-0.014632985,0.6528431,0.5491697,0.06104216
0.030403018,0.093990244,0.19659625,0.100419074
0.029535398,0.6584128,0.62363744,0.13727218
0.098318785,0.049761415,0.23806642,-0.12682158
-0.12572652,0.50152206,0.6908533,0.046553
0.011041209,0.37296218,0.32862198,0.06902182
-0.007933691,0.7065011,0.69344956,-0.02838394
0.08441551,0.24766976,0.33232823,0.14409581
-0.022644132,0.7802511,0.6968152,-0.020224333
0.07205886,0.24576476,0.4765687,-0.14373228
0.12887704,0.6637634,0.73510045,-0.13700624
-0.029149584,0.38482738,0.39847404,-0.10286428
-0.11215107,0.7612602,0.6844436,0.13766181
-0.14014843,0.50858355,0.25390658,0.14153409
0.022696197,0.6445825,0.8221189,0.03417079
0.11656278,0.29453477,0.3666912,-0.08787754
-0.09808304,0.89229107,0.67641234,0.08314191
0.08829518,0.3813501,0.42362285,-0.021938875
-0.11791588,0.79073113,0.7264574,-0.07997158
-0.1049849,0.479628,0.5510194,-0.13962263
-0.12429328,0.8464673,0.6144983,-0.02454251
0.11878547,0.64909554,0.5894116,0.02035135
-0.09753285,0.4986005,0.47977507,-0.01834011
0.06177871,0.5462686,0.4799025,-0.093134545
-0.010781169,0.5454303,0.40892768,-0.04215868
0.09913342,0.5537621,0.60008955,0.024050489
0.14043888,0.30504432,0.41738293,-0.04359334
-0.019143134,0.5849558,0.7098576,0.14228654
0.009217888,0.42412215,0.56395316,-0.02217926
-0.09399998,0.7499998,0.62077224,-0.10432311
-0.0044343174,0.5673562,0.55086946,0.14269844
0.038176134,0.70256096,0.74675584,-0.11761491
0.09151594,0.60392994,0.47426555,0.11079472
-0.063782215,0.8700906,0.66877097,-0.025719397
-0.09423709,0.41848713,0.46011448,-0.009684712
-0.12967907,0.7425556,0.5484804,-0.14258394
-0.13307491,0.39971852,0.33121833,-0.13092262
0.110851645,0.6243336,0.5170473,0.1128678
0.14429301,0.18892917,0.26965418,-0.040195927
0.11572462,0.57046235,0.5232457,0.0064893365
0.0141093135,0.28015667,0.33381462,0.053618148
-0.11372967,0.6322197,0.48716968,-0.13177688
0.04601343,0.2146042,0.37669447,-0.12301473
0.06470463,0.6285695,0.5935204,0.0798094
0.00925076,0.3483702,0.51607317,-0.0625999
0.11624044,0.58849484,0.50531065,-0.14309146
0.01834543,0.6457324,0.5656409,-0.07915408
-0.0053838342,0.38003096,0.5386797,-0.14168186
0.11651349,0.54696614,0.54709935,-0.084395476
0.13485831,0.49351215,0.457369,0.05542907
-0.017533675,0.6046523,0.39980042,0.11850971
0.045791358,0.39639968,0.571634,0.016327605
0.020427346,0.25650603,0.47080165,-0.10429128
-0.015583023,0.516972,0.6303555,0.12584704
0.110455185,0.54124,0.6052516,0.058765233
-0.0040274113,0.6072111,0.7620516,-0.030727476
0.099194616,0.754578,0.5872021,0.04945226
0.04252763,0.7762818,0.6733867,0.048569366
0.055283725,0.55208945,0.60771084,-0.011461467
0.10028729,0.7699284,0.5277538,0.06658378
-0.13957308,0.6337635,0.6321338,-0.0621517
-0.009433806,0.5021825,0.612264,-0.035457484
0.049249217,0.52139294,0.64385074,-0.1305562
0.014692321,0.75930476,0.7564684,0.0029682964
-0.11459121,0.7228983,0.75310934,-0.10373115
0.073929146,0.7302961,0.649566,0.003845781
0.12107471,0.66665965,0.8232868,-0.1184331
-0.016337857,0.79880387,0.63504964,-0.043705843
-0.14477693,0.9243424,0.81300116,-0.024755806
0.022521436,0.53672004,0.60115075,0.043058977
-0.078049354,0.7295423,0.82317424,-0.12205076
-0.10104996,0.7235949,0.5491553,-0.1251075
0.0695779,0.79664695,0.87274575,0.14504528
0.05592577,0.47617397,0.6543757,-0.04745184
0.12863854,0.80833846,1.0112963,0.13579789
-0.09593403,0.5657747,0.7519003,0.104123
0.11530483,0.9466271,1.0839425,0.068222746
-0.009451404,0.612913,0.8183393,-0.040379174
-0.09294906,1.0218899,1.2045357,-0.11063491
