A,B,C,D,E,F,G,H,I,J,K,L,M,N
0.6407877,0.68790996,0.02848807,-0.0026209056,0.6639943,0.54502386,0.007937491,0.82872355,0.70345926,0.79140437,0.55992347,0.73034436,-0.06775353,0.7759503
0.7512215,0.6924058,0.110492975,0.0070457757,0.5697704,0.49974287,-0.10868065,0.5171511,0.5886668,0.5274473,0.5884609,0.6161414,0.01420702,0.55531067
0.7213639,0.8243911,-0.026738316,0.07685411,0.5636099,0.5755991,0.11401725,0.77352357,0.5675708,0.67774606,0.48596966,0.7063596,0.03906101,0.49815807
0.69092846,0.8310726,-0.09464021,-0.10222708,0.6855437,0.52321494,0.1061174,0.77900285,0.5423292,0.5830938,0.35385185,0.6383324,-0.07186064,0.6603575
0.8258836,0.6454948,0.062686875,-0.05759257,0.5875785,0.6032534,0.06049554,0.6915066,0.74231243,0.6019113,0.36154544,0.6800935,-0.035342686,0.76354885
0.5294511,0.7595104,-0.047203213,-0.041332483,0.8335195,0.6044268,0.114877254,0.5223133,0.81948817,0.6137366,0.5688566,0.6566126,0.020572335,0.77058655
0.7261285,0.84273976,-0.07077286,-0.08223337,0.531235,0.6398098,-0.0863904,0.68536806,0.83682156,0.6437884,0.4228339,0.6872514,-0.09277676,0.71281254
0.5357268,0.71786785,0.117417604,-0.11418307,0.65216273,0.68974745,0.017852247,0.7864003,0.70012945,0.5203449,0.44676733,0.7421623,-0.021363705,0.7263193
0.6106615,0.72319984,0.029898852,-0.02861365,0.6196329,0.7776272,0.010860369,0.6511217,0.81738144,0.64695716,0.5593742,0.6027059,0.0966243,0.7228753
0.70403695,0.7204909,0.1410707,0.13648507,0.6253798,0.55905914,0.0073459595,0.6902034,0.58655,0.59907603,0.39791125,0.7732916,-0.07846998,0.7329073
0.74921286,0.6885231,0.09698877,-0.11220385,0.58727545,0.58216393,0.013565883,0.7111094,0.4934205,0.73730075,0.5450794,0.54693806,-0.11966002,0.6531695
0.6167489,0.78070724,0.035422355,0.054625317,0.8143765,0.6300384,-0.122899786,0.7001821,0.5574039,0.64001095,0.50693816,0.6299309,0.09862733,0.5761663
0.5756184,0.84671265,-0.13520452,-0.08665992,0.57750297,0.6647216,-0.06039691,0.6882235,0.6393813,0.6127218,0.6249629,0.6171914,0.0038741827,0.52526474
0.7569034,0.91713345,0.01840067,-0.0056330115,0.59280574,0.55549955,-0.1358351,0.7855019,0.5323875,0.7260756,0.4152035,0.7117441,-0.09529422,0.6494824
0.70535743,0.78026766,0.060525656,-0.010137677,0.7300001,0.51816833,0.14138612,0.6346817,0.5621679,0.56715137,0.48631996,0.5808905,-0.120571956,0.7986048
0.56719524,0.70165503,0.14901498,0.037402943,0.5706326,0.6853763,-0.023931652,0.6662387,0.6500347,0.6579816,0.63194764,0.48848024,0.013114378,0.59338987
0.61748487,0.6301758,-0.047599845,0.118768215,0.7616333,0.5490776,0.101501405,0.6841114,0.71362287,0.7100855,0.64175427,0.7568594,-0.11103387,0.6829022
0.6966704,0.74882853,-0.06652269,-0.025996171,0.5912951,0.6590011,-0.109574854,0.7072737,0.7473235,0.5652516,0.6230688,0.7307663,-0.07743309,0.6780564
0.69479144,0.8051422,-0.045630954,0.009787664,0.5683712,0.5337039,-0.012739837,0.76766366,0.6551529,0.60420656,0.4628346,0.5763126,-0.14036801,0.7421204
0.53355575,0.6484931,-0.06481539,0.1448636,0.6959265,0.6449311,0.11398506,0.8288205,0.7022017,0.6720215,0.5875567,0.71481735,0.11827901,0.5438866
0.5625518,0.7733682,-0.07776863,-0.025719203,0.6090465,0.5382161,0.038189173,0.7864659,0.761116,0.7536998,0.4708392,0.5667188,0.09835337,0.55736613
0.8000339,0.9253145,0.0018187314,-0.00059363246,0.70361286,0.51488507,0.13174674,0.6176916,0.5936147,0.6462553,0.5603919,0.76846576,-0.07552463,0.6077056
0.742887,0.69642067,0.072345406,0.030340225,0.7701752,0.5537095,-0.1217154,0.60657275,0.65197873,0.53175807,0.60159063,0.73519707,-0.124258704,0.6889457
0.65468776,0.8610836,-0.019320682,-0.070824146,0.6390033,0.74064076,0.07379767,0.6325407,0.58567727,0.55958563,0.5392529,0.7484708,0.1430934,0.76275766
0.5135291,0.8485145,0.10504019,-0.119506955,0.72781163,0.7173519,0.14706713,0.66993123,0.5002315,0.65615046,0.42129257,0.54507923,-0.046234578,0.8165538
0.54783654,0.7871797,-0.1285274,-0.06465115,0.7749428,0.680049,-0.07113019,0.82376343,0.64822114,0.81922835,0.43525583,0.70020473,-0.13508244,0.6217022
0.70681095,0.8633563,0.116289854,0.11354411,0.6395438,0.6028967,-0.096201345,0.7327643,0.53859246,0.6387264,0.39016944,0.6377766,-0.0056016743,0.56439394
0.81282616,0.8476633,-0.03227617,0.0716929,0.7649528,0.7925345,0.000824064,0.58074576,0.7799182,0.5900877,0.52643913,0.671348,0.008317828,0.49248284
0.74864674,0.9575422,-0.0841357,0.13276333,0.6970769,0.5773076,-0.02470398,0.72527677,0.6539249,0.53584135,0.5252717,0.57412636,-0.10678565,0.59288853
0.74179417,0.87049425,0.0020346642,-0.10465016,0.7126818,0.7702563,0.10884562,0.59521556,0.6008283,0.71729344,0.4415878,0.5241217,-0.11075123,0.6626053
0.78563464,0.74760914,0.004952997,0.11949438,0.61405855,0.6646808,-0.12347201,0.62873083,0.5043752,0.68481386,0.35530782,0.8138478,0.10074663,0.79730785
0.69131845,0.8576296,0.012446359,-0.07628911,0.64283544,0.6597674,0.13679698,0.5639924,0.60579777,0.7099341,0.5946235,0.54099053,0.0030432492,0.7489881
0.5858284,0.68623996,-0.013306588,0.0572982,0.59682655,0.66929615,-0.12608558,0.63581836,0.52475053,0.5640391,0.5167219,0.6976286,-0.054985374,0.81228983
0.55014527,0.75192773,0.07885344,0.100055724,0.6271024,0.6670102,-0.062161535,0.52863765,0.7632897,0.49522343,0.4264369,0.6611403,-0.03437709,0.8366218
0.5214994,0.7959081,0.073431924,-0.004759595,0.72897553,0.7608753,0.026677713,0.804297,0.6230199,0.6713666,0.6387071,0.7209423,-0.06059861,0.7829311
0.7003257,0.8251853,0.0467017,0.13491297,0.52532005,0.5590422,0.035490423,0.627444,0.6041172,0.7736769,0.43065846,0.53830516,-0.045342475,0.66688085
0.7073618,0.93282795,-0.09570627,-0.14991711,0.8115976,0.562127,-0.10069993,0.7302526,0.6454921,0.52066934,0.5011227,0.5771589,-0.023772001,0.719041
0.6679458,0.84623134,-0.14443174,-0.1489705,0.5512239,0.5841528,0.019299135,0.5815763,0.66342705,0.80419374,0.5889865,0.53762424,0.10843098,0.81960607
0.7691994,0.90121585,-0.038823746,0.09800774,0.68642145,0.5792854,-0.11348781,0.58376014,0.55515194,0.56355166,0.39432713,0.6709231,-0.04981848,0.75335747
0.74393666,0.72033167,0.0044674575,0.116550624,0.64429176,0.6858051,0.12191582,0.7704717,0.59624493,0.52333945,0.37288386,0.5447123,0.061974958,0.66537344
0.56800103,0.834327,0.10776776,-0.08527059,0.5929959,0.70400256,0.1230284,0.6908363,0.5445566,0.6583391,0.49426576,0.61438775,0.102944255,0.744557
0.5227965,0.6469346,-0.009405062,0.091476604,0.53652483,0.7369546,0.09788035,0.71848774,0.72557205,0.6005264,0.6654247,0.61719185,-0.06491999,0.6659626
0.75118023,0.9146566,-0.12646076,0.03690435,0.500754,0.7756703,0.12502795,0.54962337,0.7585669,0.54191685,0.4314935,0.6120562,-0.14677109,0.6054485
0.6366478,0.95163155,0.021695971,0.03181468,0.5607333,0.7930032,-0.052897237,0.598784,0.76858634,0.5722483,0.54113543,0.6584258,0.108079046,0.74188155
0.72210354,0.7552087,-0.04476192,0.045743912,0.6854875,0.6924136,0.025171727,0.6996435,0.618441,0.5662782,0.5785037,0.7849786,-0.1350077,0.6029225
0.697338,0.7856348,-0.015042663,-0.12760055,0.7811173,0.7728034,0.009881288,0.67218447,0.7981482,0.7382602,0.47135806,0.71880573,-0.12261324,0.5662798
0.5735994,0.81252307,0.098449916,0.029455066,0.5491297,0.58488387,0.040456608,0.7286525,0.6906715,0.675419,0.4209648,0.80547845,-0.11820211,0.49760267
0.7274473,0.74384314,0.123479724,0.021094337,0.69484293,0.7888262,0.13829744,0.684543,0.53032374,0.48904428,0.61585903,0.5802952,-0.06448156,0.5009382
0.6737273,0.8037184,-0.008848697,0.08078252,0.6735283,0.74446124,0.12816739,0.69685435,0.7484791,0.6303913,0.44991297,0.65176314,0.016464725,0.6703549
0.6527918,0.88670456,0.059586257,-0.07364758,0.57418597,0.73107374,0.024110183,0.547742,0.7111858,0.62478924,0.4927668,0.51952827,-0.07058965,0.5969337
0.63171303,0.85158306,-0.13450566,0.09943475,0.66757435,0.68421346,-0.0779816,0.699636,0.7003995,0.6474074,0.6225383,0.6357398,-0.0096000135,0.7595289
0.75213516,0.92110753,-0.0062437057,-0.10373217,0.5057424,0.6510681,-0.12227313,0.77668023,0.79435503,0.6527566,0.44867158,0.78344786,0.13177961,0.60988194
0.58288825,0.7990341,0.05705586,0.07459211,0.7864086,0.54272145,-0.0766087,0.78963846,0.6696167,0.5993432,0.53919226,0.61714303,-0.044724084,0.759547
0.76594454,0.6759811,-0.016561672,-0.1383915,0.72412145,0.52183604,0.12158099,0.7886245,0.68311155,0.7036482,0.46739033,0.64786756,-0.10158427,0.6614231
0.67791116,0.9061994,0.10396519,0.14634964,0.8091434,0.71114683,0.13611415,0.53110313,0.64058447,0.54169524,0.38753447,0.569413,0.07840115,0.51641035
0.49434146,0.9186172,0.013881475,-0.069229126,0.64303184,0.66602206,-0.062766075,0.6202047,0.5932559,0.84073627,0.6550213,0.6293235,0.0744891,0.5315477
0.581682,0.79729944,0.058403015,0.101998985,0.4859623,0.72184426,0.010455549,0.71995723,0.6298988,0.77793485,0.4677879,0.6633473,0.012524381,0.55267894
0.7167209,0.7516441,0.026460722,-0.094416976,0.638891,0.78086674,0.12559837,0.722065,0.6590761,0.538227,0.592579,0.717966,0.11745891,0.6666315
0.5960173,0.7418792,0.037017226,0.1173819,0.5777674,0.6441417,0.07792851,0.7495768,0.56072176,0.59678745,0.46356067,0.73280084,0.13477585,0.6580781
0.8074839,0.7480993,-0.035864748,-0.10468401,0.5909529,0.70926625,0.04654759,0.718886,0.67761904,0.69526166,0.41260335,0.68203276,-0.050452374,0.70645744
0.77292305,0.77218413,-0.1021916,-0.08727018,0.7949114,0.7434236,0.13785422,0.67180604,0.7280111,0.52308285,0.6032722,0.58252764,-0.027480878,0.652753
0.79142565,0.7142654,-0.1083422,0.043731973,0.7633256,0.76113015,-0.13435626,0.66296804,0.6934814,0.69612825,0.36901423,0.5989829,0.13872787,0.6478336
0.6436082,0.7639641,0.029193968,0.14204988,0.70739985,0.67859226,-0.028843783,0.6008762,0.7507144,0.55400544,0.6025289,0.5642286,0.027372003,0.74758476
0.5725243,0.87842554,0.08705823,0.13702545,0.6736046,0.73195064,-0.10779823,0.79445684,0.7558702,0.64874667,0.4962127,0.6345669,0.09949106,0.73079705
0.8347129,0.7533145,-0.029364236,-0.014209822,0.6334615,0.65834343,0.011254653,0.59245104,0.6794795,0.7865107,0.42277113,0.7142552,-0.13903359,0.66779166
0.5874011,0.94950527,-0.11982895,0.04376982,0.57666826,0.7204467,-0.079781234,0.76531166,0.5254275,0.67210793,0.4433074,0.5624031,0.06715204,0.5179162
0.55844015,0.8212833,-0.07199332,0.103830725,0.5447319,0.7684168,0.079080805,0.83334893,0.66032726,0.6874342,0.4860881,0.72405475,-0.042878903,0.48494384
0.6836077,0.6245419,-0.13148835,0.061925203,0.662185,0.69931906,0.073101014,0.5762633,0.804983,0.60065085,0.51799,0.57276994,0.0050718933,0.74448633
0.5669871,0.88999045,0.061424926,-0.12378742,0.6241015,0.7537482,0.0118661225,0.5681496,0.6369903,0.64246404,0.3630692,0.78665507,-0.09722318,0.54096425
0.739166,0.8977883,0.050787434,0.082169205,0.5713248,0.70997584,-0.088634565,0.7780017,0.5993129,0.7032745,0.6460421,0.6185037,-0.032603286,0.6185837
0.7201603,0.79227936,-0.022622824,0.063293114,0.7565168,0.61032283,-0.029218055,0.59545565,0.5713605,0.7720275,0.4863639,0.7489755,-0.13157755,0.7279988
0.6715188,0.6705089,0.07830483,0.028451622,0.78135157,0.71985674,-0.11821574,0.66936255,0.56697553,0.7118928,0.5181247,0.6786041,0.06533311,0.7974354
0.744128,0.82757163,0.14101571,-0.016139671,0.75897336,0.69003916,0.0041120052,0.5995543,0.6544892,0.6488306,0.48193163,0.6664643,0.0024085343,0.54093623
0.50659716,0.79800683,-0.06196356,0.12058121,0.54355705,0.7970866,-0.14080381,0.5630054,0.5110967,0.6681503,0.5159546,0.74719256,0.090044215,0.5463802
0.69982886,0.66348255,0.12749824,0.0013732016,0.5636033,0.71878445,0.017229676,0.6750438,0.76900655,0.6089028,0.34459853,0.6413091,-0.06663421,0.49852806
0.6046057,0.7366266,0.08787924,0.13608232,0.6929327,0.61656064,-0.0009861588,0.69587374,0.55796,0.73932755,0.4327234,0.7313098,-0.072328955,0.66843426
0.8057265,0.88459533,-0.13724984,0.0467325,0.6672827,0.66710556,-0.1248087,0.5444176,0.6069307,0.7361863,0.5595335,0.7856866,-0.047789834,0.5520159
0.61083424,0.9453825,0.11108586,0.14938289,0.62080544,0.73834866,0.04904729,0.75703406,0.5020217,0.80174977,0.33226693,0.7768866,0.07741122,0.77914494
0.718851,0.6703665,-0.04474259,-0.06684795,0.6993534,0.70086455,-0.10209243,0.6052805,0.5701034,0.75354826,0.5603029,0.6756598,-0.046164036,0.79862356
0.56573296,0.7766447,0.08677672,0.069619134,0.74247354,0.81328404,-0.06206578,0.52520937,0.75159633,0.5321639,0.3595916,0.61950487,0.07776706,0.68654877
0.5941216,0.76677984,-0.08257844,0.1375666,0.58874255,0.6011666,-0.12537125,0.76834023,0.6540335,0.5553833,0.48233813,0.7729602,0.039401725,0.71240604
0.5799594,0.8397836,0.03477992,-0.13714823,0.7215023,0.59274817,0.06673168,0.8262583,0.7802859,0.651587,0.4309474,0.6420666,-0.08204374,0.8092108
0.7446765,0.78638273,-0.09105499,0.06533022,0.5647683,0.6415783,-0.04158055,0.550794,0.59153044,0.7736396,0.47941625,0.7956979,-0.07270058,0.5846495
0.70064974,0.66421366,0.14635107,-0.06301602,0.5932801,0.729123,-0.02076538,0.6327708,0.65446126,0.78709376,0.37154755,0.534395,-0.098294064,0.5854396
0.5397928,0.6665362,0.00648953,-0.050219342,0.7120757,0.7437686,0.024775267,0.67268395,0.5217069,0.526379,0.44015977,0.6197328,-0.046330832,0.58134055
0.5400667,0.6215702,-0.1422074,0.067030266,0.6171645,0.70199347,-0.12771574,0.542959,0.68505347,0.5479084,0.53033364,0.6390978,-0.090277836,0.60132575
0.50040966,0.81662303,0.034423232,-0.042653687,0.6239339,0.6767066,0.028014034,0.63498956,0.6376479,0.5945968,0.46031785,0.50637096,-0.1124627,0.6055842
0.61642694,0.8564193,-0.11167547,-0.06394178,0.4775511,0.5477824,0.050499186,0.7306938,0.50950605,0.5412479,0.54905576,0.6232754,0.034451738,0.66290665
0.69729704,0.90458894,-0.1153087,-0.028737098,0.729313,0.5205091,0.03164938,0.708889,0.54409766,0.59270126,0.60085404,0.76180923,-0.087849274,0.6282193
0.7750714,0.811998,-0.020162106,0.06567748,0.7906821,0.7429575,-0.03957147,0.58970654,0.52888167,0.739795,0.47119373,0.6233541,-0.13624732,0.6830582
0.76142526,0.9145692,0.1389249,0.14908516,0.60205853,0.7707162,0.111480236,0.7552278,0.66064215,0.67206943,0.490972,0.808666,-0.12746269,0.67454207
0.82294315,0.8549508,0.1315813,-0.07594994,0.7977761,0.77774125,-0.0043884367,0.5830249,0.7431036,0.70438325,0.4051571,0.6125416,-0.0072372407,0.6076941
0.6882831,0.85215914,-0.0057021827,-0.08027287,0.7130418,0.53662264,0.08673644,0.7149959,0.5661886,0.7249948,0.49657872,0.7764466,0.0198915,0.76229894
0.61160386,0.73712945,0.04055293,0.065387964,0.77843046,0.6929186,0.06884816,0.5733811,0.5739048,0.59933937,0.41332448,0.5497404,0.11906272,0.6129744
0.7813299,0.699854,0.053483665,0.033127725,0.5259431,0.53270245,-0.060076244,0.7095421,0.52779126,0.6330634,0.391546,0.5058114,0.027689308,0.54424876
0.5609674,0.909121,0.0013377964,0.10777745,0.58930343,0.5807418,0.003682062,0.73719615,0.54130405,0.5437173,0.43917185,0.5960311,0.03680405,0.7685787
0.6882582,0.7664279,0.065484166,-0.112494886,0.77692723,0.62402976,-0.033569507,0.848246,0.57401705,0.6693539,0.5602339,0.7778748,0.043009445,0.67687285
0.6129354,0.86294925,-0.116520345,-0.1189946,0.525486,0.75754744,-0.041006953,0.56487864,0.58947825,0.68031967,0.42673814,0.76017845,0.02251169,0.7641645
0.6509118,0.8974281,0.09207876,0.10553315,0.5546473,0.81642556,-0.12199742,0.6574633,0.6503993,0.56951034,0.5455163,0.65396404,-0.06842278,0.74550575
0.6003351,0.78070635,-0.039758652,0.12854978,0.76238364,0.63063014,-0.13478206,0.7789035,0.7832407,0.66123354,0.4876492,0.669073,-0.12871799,0.7268157
0.6743361,0.833245,-0.028762974,0.03234066,0.6824975,0.7643596,-0.036147974,0.800391,0.77937067,0.5337124,0.5714439,0.6426488,-0.07478373,0.8126284
