A,B,C,D,E
93.0,22.0,22.0,20.0,29.0
157.0,51.0,33.0,43.0,30.0
204.0,39.0,37.0,75.0,53.0
214.0,26.0,25.0,94.0,69.0
263.0,32.0,28.0,105.0,98.0
213.0,24.0,20.0,79.0,90.0
176.0,22.0,21.0,66.0,67.0
140.0,24.0,21.0,31.0,64.0
81.0,14.0,13.0,20.0,34.0
25.0,5.0,2.0,3.0,15.0
8.0,2.0,1.0,2.0,3.0
2.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,2.0
4.0,1.0,0.0,0.0,3.0
18.0,2.0,2.0,1.0,13.0
50.0,6.0,7.0,8.0,29.0
75.0,7.0,7.0,15.0,46.0
82.0,15.0,22.0,7.0,38.0
40.0,12.0,12.0,6.0,10.0
23.0,9.0,5.0,4.0,5.0
26.0,10.0,5.0,5.0,6.0
36.0,10.0,12.0,8.0,6.0
28.0,6.0,9.0,7.0,6.0
54.0,8.0,12.0,17.0,17.0
66.0,17.0,16.0,22.0,11.0
97.0,12.0,10.0,55.0,20.0
74.0,1.0,6.0,46.0,21.0
18.0,4.0,1.0,8.0,5.0
10.0,1.0,3.0,4.0,2.0
10.0,4.0,2.0,4.0,0.0
3.0,1.0,1.0,1.0,0.0
4.0,1.0,1.0,2.0,0.0
2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0,1.0,9.0
26.0,4.0,3.0,4.0,15.0
41.0,4.0,5.0,5.0,27.0
68.0,8.0,7.0,17.0,36.0
77.0,12.0,16.0,20.0,29.0
39.0,11.0,6.0,11.0,11.0
35.0,8.0,8.0,11.0,8.0
36.0,9.0,9.0,10.0,8.0
51.0,18.0,11.0,10.0,12.0
48.0,9.0,13.0,12.0,14.0
59.0,7.0,8.0,26.0,18.0
75.0,13.0,7.0,41.0,14.0
123.0,18.0,24.0,54.0,27.0
90.0,12.0,8.0,50.0,20.0
46.0,5.0,4.0,22.0,15.0
12.0,2.0,1.0,6.0,3.0
11.0,2.0,2.0,2.0,5.0
7.0,3.0,0.0,3.0,1.0
4.0,2.0,0.0,2.0,0.0
2.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
3.0,0.0,0.0,1.0,2.0
9.0,1.0,0.0,1.0,7.0
39.0,3.0,3.0,8.0,25.0
65.0,7.0,7.0,11.0,40.0
89.0,11.0,17.0,11.0,50.0
99.0,13.0,12.0,26.0,48.0
68.0,14.0,16.0,19.0,19.0
63.0,12.0,10.0,22.0,19.0
60.0,18.0,9.0,16.0,17.0
51.0,8.0,9.0,16.0,18.0
54.0,7.0,5.0,24.0,18.0
78.0,10.0,12.0,27.0,29.0
124.0,16.0,26.0,47.0,35.0
128.0,18.0,11.0,68.0,31.0
104.0,8.0,9.0,60.0,27.0
43.0,1.0,1.0,23.0,18.0
20.0,0.0,4.0,10.0,6.0
10.0,2.0,1.0,4.0,3.0
10.0,3.0,0.0,3.0,4.0
9.0,3.0,4.0,2.0,0.0
1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
3.0,1.0,0.0,0.0,2.0
8.0,1.0,1.0,2.0,4.0
25.0,5.0,4.0,3.0,13.0
54.0,6.0,6.0,9.0,33.0
85.0,9.0,8.0,16.0,52.0
74.0,11.0,9.0,19.0,35.0
66.0,13.0,10.0,12.0,31.0
50.0,7.0,12.0,16.0,15.0
52.0,18.0,7.0,14.0,13.0
41.0,8.0,10.0,9.0,14.0
65.0,12.0,14.0,20.0,19.0
64.0,12.0,12.0,24.0,16.0
104.0,16.0,12.0,50.0,26.0
139.0,22.0,31.0,56.0,30.0
92.0,14.0,6.0,45.0,27.0
33.0,2.0,4.0,18.0,9.0
19.0,4.0,4.0,10.0,1.0
10.0,1.0,1.0,5.0,3.0
6.0,2.0,1.0,2.0,1.0
10.0,4.0,6.0,0.0,0.0
4.0,1.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,1.0,1.0,0.0,5.0
24.0,2.0,4.0,4.0,14.0
42.0,6.0,9.0,10.0,17.0
99.0,14.0,11.0,20.0,54.0
68.0,10.0,15.0,12.0,31.0
75.0,15.0,14.0,26.0,20.0
47.0,7.0,6.0,20.0,14.0
78.0,21.0,14.0,17.0,26.0
74.0,15.0,12.0,24.0,23.0
80.0,15.0,13.0,28.0,24.0
80.0,12.0,7.0,41.0,20.0
93.0,8.0,13.0,44.0,28.0
125.0,17.0,19.0,56.0,33.0
75.0,6.0,6.0,40.0,23.0
31.0,2.0,4.0,17.0,8.0
18.0,2.0,1.0,10.0,5.0
6.0,1.0,2.0,3.0,0.0
4.0,2.0,0.0,2.0,0.0
2.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0
2.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,2.0
2.0,1.0,1.0,0.0,0.0
