A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
27.60846,61.90081,47.551323,28.103106,20.957556,56.027855,100.4296,50.539913,74.12835,77.160034,87.53117,39.338993,89.30454,99.742325,55.613922,42.95258,74.54809,81.562096,5.252695,50.1165,59.79815,101.24932,36.678764,34.298004,26.375696,25.441324,19.054821,11.671429,-3.7929478,8.892284,18.972876,33.082733,27.157991,36.13041,30.684944,18.700602
31.820322,64.54073,48.37817,32.14194,41.45428,59.55208,67.06843,51.254673,85.41896,76.14204,75.01182,54.286045,92.30573,75.10182,67.93171,56.584526,63.29663,73.440056,15.939171,53.252243,75.97155,79.369225,29.835524,28.518816,22.01487,3.71801,15.213263,20.11006,2.3739078,24.043436,25.676735,32.32544,13.683892,21.669529,31.60162,19.954536
42.34344,65.89086,43.64781,5.4758835,63.740158,56.700146,49.442867,72.82264,88.092674,82.51443,70.679214,81.836945,79.26054,73.7634,86.879654,65.88592,65.79209,81.715355,15.24329,41.399185,84.95538,87.0176,45.847206,-21.401815,28.376085,3.5423374,-7.2348022,13.781386,5.5808043,28.818695,57.410954,18.35154,-7.9258995,11.666285,25.272238,21.644129
37.772614,54.21759,38.691605,15.092573,76.35171,51.065266,57.967403,84.27076,69.59448,86.29942,80.87491,71.524155,74.50969,90.00847,71.97866,87.46585,62.59329,91.24278,50.381172,20.63561,70.15202,68.21496,81.28152,18.283596,18.179497,4.8012295,61.86738,22.928545,-41.47434,9.289128,52.19823,28.07259,25.837692,9.94821,15.335318,33.647903
34.29599,40.709248,23.473385,10.606569,44.350925,23.312817,70.333885,76.383156,61.814713,78.354256,68.728165,60.311993,59.776802,81.68086,70.65791,60.505352,69.85641,90.5633,32.31176,73.9451,53.956367,51.546547,101.23276,24.788914,16.584307,20.71445,61.712097,25.195196,17.351465,-14.888568,56.815636,32.890347,33.92724,13.032294,9.409735,46.857807
27.523201,13.896011,32.37106,16.721642,19.98343,39.444214,79.57654,63.68403,64.89173,73.574875,75.02512,19.820843,55.151043,61.89887,51.64276,56.33477,50.564228,89.14896,36.93547,41.054344,67.818794,62.626503,74.27927,23.258545,25.875559,39.218792,57.594925,21.928411,27.215034,29.303894,27.518837,-8.930773,68.40738,23.68823,32.974503,50.822815
17.905073,6.4492664,17.785177,22.78842,49.910698,53.633133,59.956398,64.644905,51.17306,79.53528,48.471718,45.5957,45.158836,79.2055,43.96259,65.32867,91.74405,83.63356,14.625454,58.92278,68.04082,50.987152,102.0517,24.15378,22.740955,38.164585,66.25974,41.832825,29.678318,11.149938,42.129116,14.360367,66.98897,36.733982,23.498888,72.24921
25.752796,39.75262,26.81491,26.132944,32.989735,42.62287,45.366142,60.1468,51.452908,61.97458,67.45798,21.655731,42.807602,70.75924,36.583714,38.8922,53.73524,73.59825,51.032715,41.065685,64.49326,74.61282,61.085278,29.40864,24.118069,58.697834,52.600307,52.04254,45.289894,38.87797,77.19406,28.059725,83.34566,21.85429,59.960674,52.645557
24.933393,42.539413,30.551548,18.560978,30.181265,49.595566,44.21968,56.477955,-9.663284,59.46955,61.06432,40.787903,71.11272,69.26833,37.023937,20.380087,46.065693,78.46933,20.034576,38.521976,62.450104,59.75077,56.826782,32.48505,23.347292,75.65776,54.992744,65.51912,33.57618,29.052622,65.55614,-0.90504456,85.27463,38.042606,61.335842,46.252956
35.032925,46.708515,44.81003,38.34041,28.812786,58.05177,33.19251,17.271084,38.367966,42.00491,48.320225,39.748787,44.640728,73.97764,26.784409,16.733383,27.461048,78.1317,50.499386,28.29612,53.073387,63.10048,42.528843,34.84949,22.853443,64.9702,47.98742,56.932014,45.29517,22.583096,46.89853,15.355573,73.309784,37.296272,108.271545,43.376575
