A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
61.261326,36.38826,18.11273,37.36733,-3.0039892,14.561895,28.061045,24.395836,32.694923,13.448016,61.964634,21.686422,3.7717905,42.53298,37.256104,56.272804,20.506462,44.494488,98.72498,31.301235,60.07493,53.3248,39.99215,36.175583,11.013894,60.561375,-17.943472,-6.69224,36.49478,6.042742,10.32178,11.21109,9.064287,55.4013,11.466629,-3.5823517
50.926254,32.17039,12.591272,36.4821,1.5349188,23.20259,14.653921,27.826294,46.151505,14.347118,35.370377,11.442353,4.175193,45.548035,22.031155,47.622303,-7.6713486,30.223148,74.54405,30.657269,49.54656,38.76837,27.694038,17.26973,12.077694,40.224873,6.9309893,4.596182,32.6657,-3.5543418,15.498526,8.443117,19.453022,42.000126,-8.073364,-1.1962204
84.694756,40.96137,13.691257,31.767023,15.463997,24.206,16.049786,26.653461,32.269806,28.656843,41.41798,17.725008,22.302948,49.103813,34.231495,80.52875,19.364294,14.760079,91.756714,24.63626,46.96261,36.07386,-21.070251,15.299363,20.234507,-19.482649,-2.4553967,-0.7076678,27.562422,5.411792,11.357761,1.9848847,21.77197,49.655003,17.96619,13.146524
72.81138,42.572205,27.019249,44.096333,21.905643,27.846405,35.23832,29.870903,39.04173,37.159122,63.880104,31.816277,35.343693,61.85362,32.560806,49.404625,8.488388,18.772432,103.63563,20.79687,71.1178,34.30756,15.796359,19.436895,7.3954563,46.123222,7.022138,9.619232,39.877182,11.470331,7.2644386,11.289456,14.866553,51.911453,22.92896,-5.8540497
65.32312,40.72191,38.089935,40.39332,46.78841,34.093773,30.912985,-55.878063,73.07315,33.797104,35.05796,28.928305,-12.347576,63.07621,37.187786,44.636738,18.081125,-4.625963,96.42067,49.03346,63.93644,42.196323,51.335873,28.16366,18.471046,38.638325,-2.4237776,-1.934267,57.387566,0.970006,9.396467,6.23539,17.13144,24.939358,29.619255,19.534567
67.95036,50.48768,13.73753,37.316696,105.29851,25.759533,20.8165,52.759884,42.993286,23.435324,28.377499,33.718998,21.109266,57.249035,30.910618,65.542496,41.398438,29.972855,104.31539,32.047684,64.63565,51.65276,3.5084991,42.017693,22.556986,19.194523,8.601754,3.691947,29.675348,12.113696,3.5508747,8.400625,32.020546,26.116528,25.139606,20.706924
64.41697,62.807613,52.879498,38.24622,74.42415,25.053015,23.98647,65.67563,62.35424,40.891506,33.760365,56.563797,15.695546,54.786827,26.384432,48.357933,35.721077,31.097004,104.45721,28.652473,80.24977,32.773148,47.386692,37.908543,6.2999573,28.48705,21.88395,4.660678,18.17023,24.796825,12.983994,-9.689938,25.202822,6.8104377,32.712677,11.545847
59.81128,52.979767,45.65858,50.551247,39.695534,29.554512,31.264091,77.37151,60.154083,24.168135,33.37422,49.979713,15.414994,51.811977,31.939417,43.170326,70.37322,43.261696,107.43281,44.00863,50.72967,23.855373,36.938164,29.231096,19.329159,37.037285,20.093824,-0.59316444,4.882803,21.230335,14.658176,-5.352193,48.86445,66.112335,31.455677,6.004149
52.508965,45.729027,21.078697,63.426434,45.744873,34.603302,25.288267,92.91279,61.931904,44.557594,52.392544,35.0983,13.69038,38.759686,28.802305,46.970955,69.50327,28.550573,84.28255,42.470535,47.9111,37.47923,22.613028,32.146545,25.498714,45.27086,17.36101,5.146605,14.972679,15.676017,10.172359,8.825422,62.03581,58.965824,-10.372906,20.891687
49.14436,45.540424,30.515839,47.0641,70.818695,19.114351,28.020014,96.84143,42.618954,82.81493,72.31694,38.98308,10.972153,31.851534,32.70509,52.00726,56.97994,25.166454,98.10214,35.754982,38.005043,41.49327,-6.7161827,21.061436,71.71792,15.31365,-5.7064304,3.4575315,20.959854,19.532911,14.38081,8.440924,45.875732,52.57743,15.742187,52.90377
