A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
10.368599,18.45964,64.196625,29.594646,46.520367,10.9074135,51.15174,44.253113,12.948975,52.21209,55.470867,26.605656,38.4143,49.759384,48.72342,47.6398,50.29544,20.110195,27.199158,25.881191,62.7778,37.136566,38.799225,0.82972336,13.567665,15.293486,18.317856,25.185568,22.751167,14.2226715,41.038307,36.561962,-6.7658195,12.2402,11.578427,38.93764
16.244038,25.641476,67.10043,53.36126,24.655561,21.54279,33.07284,28.277714,36.631836,48.02432,35.273285,44.549976,46.52293,49.614204,45.98481,42.448696,32.956066,24.410091,21.751873,24.736492,45.465076,47.531082,37.697334,2.6801033,22.48713,13.691165,19.838707,48.543636,23.969004,16.282799,41.38246,28.164907,-9.199456,17.281982,13.264168,52.585392
17.882996,28.567131,72.8832,55.547924,24.1391,9.883968,39.35683,33.177387,32.976917,57.526386,19.727446,34.59909,31.58723,34.00614,50.534626,51.09386,30.62555,9.867752,36.549908,37.69211,76.236694,40.925823,35.382214,9.2322235,39.455063,6.81168,11.899792,39.081364,25.903206,18.788052,29.206898,27.460594,-3.855198,12.008831,11.858303,45.699196
23.211994,23.124157,72.08436,59.73832,20.767578,23.278732,37.68156,40.224613,36.13825,47.382454,38.17426,47.57559,22.362701,53.739964,54.00746,45.62209,33.063595,23.58799,53.253326,42.458298,39.507515,53.521248,34.292316,14.250607,45.907303,1.9600029,10.724171,33.470158,18.782803,7.493,28.353956,7.607832,9.406864,11.222477,21.25977,36.271126
36.17236,24.546991,61.513527,44.8017,25.416565,30.743736,36.133076,44.23022,43.864197,43.957184,56.25446,46.742218,54.455772,55.494453,57.27088,47.376476,4.310051,38.123466,57.27967,33.351578,46.169136,93.84469,30.369286,19.476074,43.36116,13.794643,-4.5859585,17.888233,20.423061,10.986828,28.195105,13.473721,5.2856436,28.704445,23.205585,39.10401
33.473267,24.527191,50.10277,43.019447,41.645332,49.082176,69.776825,52.810158,57.380325,46.78979,65.45311,58.814884,42.62918,61.36793,38.984802,47.68694,9.079506,61.897255,42.888786,51.59842,63.753227,88.46672,31.29348,16.419647,25.03719,13.276806,-16.76274,-2.7646904,18.579044,12.799896,36.193672,8.080826,19.565678,28.629436,20.797794,46.320538
31.895714,3.8008347,56.614197,50.269623,27.59248,52.687763,69.093796,61.304684,54.927685,50.97367,28.63221,75.60648,60.99905,51.651474,4.646492,48.131763,42.305943,72.06821,31.308064,65.34122,78.71805,74.23506,36.88573,6.6065216,11.721811,8.262876,-11.00613,-0.2657013,14.397335,17.713634,27.67698,0.13586998,18.123451,37.237934,26.10559,40.11776
33.99527,24.338268,72.43397,54.675564,35.43645,21.118973,57.70733,62.86936,50.251125,87.98956,69.13023,66.70757,59.022415,75.97742,32.49893,34.28186,54.2734,62.478214,42.08117,72.36516,79.94713,78.20657,34.192757,10.636665,10.393692,4.9751854,-11.776073,29.630363,3.9925613,25.477787,26.98338,8.411655,15.447815,31.286121,37.259693,34.01457
21.532051,12.08976,71.0092,46.15259,44.975887,39.025333,57.23615,64.48404,53.883778,67.6636,53.24667,66.60161,34.58249,57.4469,50.61475,39.529476,76.94987,81.38238,46.06453,43.337883,88.55826,94.582306,35.76689,23.796268,31.46751,7.240597,-3.8058243,17.88696,-22.751621,25.601282,32.672592,14.682674,13.317692,24.441292,37.520702,49.891212
32.311104,31.183994,79.51058,52.97847,45.23175,33.605034,76.34973,27.982391,62.34654,56.96779,47.88011,60.13215,52.851078,63.966927,61.74326,37.20907,61.27894,76.78497,51.096313,51.7947,40.024876,25.629768,40.119328,60.98264,35.431488,11.760128,10.533474,9.2081375,18.60902,47.212265,23.316416,11.3707695,21.73286,15.676482,25.621353,28.967148
19.852345,24.64312,85.084724,67.59559,59.670578,31.434994,80.25053,42.028694,46.954704,81.26876,40.23668,47.892113,49.195602,54.77425,63.990635,32.72701,84.24012,61.751842,59.02664,46.29146,79.77048,24.761185,39.60196,57.629765,26.090065,14.624187,19.854912,13.388687,38.76245,45.72968,29.855476,9.410212,18.612831,19.901314,30.541275,39.720676
28.862637,39.317398,93.96904,66.67406,34.203857,36.78054,37.374992,45.639503,36.608543,75.00791,61.65146,53.36916,47.068733,46.88392,61.911793,64.69838,77.71847,52.577827,51.947502,36.67266,46.00345,34.344284,37.588787,46.656055,39.222332,13.714821,21.292507,19.19381,38.368504,46.647728,43.82467,0.52944183,15.273415,25.91869,43.16789,43.416824
36.455025,53.875435,92.14594,66.29151,35.121754,44.69355,46.207184,57.820843,31.190662,83.270706,36.972813,41.438263,43.265247,64.46992,56.30218,54.54774,55.817482,63.830513,45.38285,47.72601,28.966547,39.352657,56.935352,31.983017,44.086105,13.777657,29.217617,14.24156,46.39856,52.85348,42.89759,15.882233,-4.0370903,28.00237,50.94084,46.51267
54.849014,52.29556,77.55022,62.394154,43.76557,49.308624,29.501337,71.527245,41.964264,55.193333,28.542446,35.833115,43.506924,53.106834,57.48041,59.12966,58.95214,58.30401,43.5751,46.224957,76.52466,36.972015,50.717537,-3.245945,27.4267,28.919807,22.54258,33.82284,42.952496,62.578606,39.37873,14.174835,-5.6920853,28.662163,47.94324,48.191353
30.118786,57.803497,69.942856,70.43731,52.299057,40.775726,25.814922,66.242966,53.749874,75.41952,46.791996,35.944736,3.0797997,46.966225,48.06565,57.0781,64.77349,55.221565,44.57486,58.339066,46.127266,49.932346,39.006657,12.808201,23.628551,25.351822,30.546398,38.139,42.769115,56.150246,36.8992,16.180445,-2.616366,27.192188,55.60292,47.002567
43.200077,57.959694,66.16064,51.18358,58.399517,21.180855,26.268116,72.96007,66.87838,69.654205,42.573124,36.145073,25.831234,52.396866,55.2694,66.63081,42.748753,53.393894,62.25136,52.795776,3.1626053,55.62669,35.951447,12.79113,49.010727,16.565289,30.195324,21.256252,38.53466,61.967724,41.613235,28.76382,-0.0513407,37.09673,46.78473,51.66745
