A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
78.746185,49.21866,40.53146,51.47721,12.482853,22.58434,11.563461,53.44329,68.2609,94.35844,65.692474,68.93423,44.959606,-11.498787,38.059452,55.40787,70.49931,48.09203,77.095116,39.089005,115.75989,70.04816,8.860359,94.652596,-5.4240417,10.859318,-0.80145264,52.41648,32.679016,78.98922,62.724716,52.50525,32.62671,104.73587,2.6975632,-24.207514
87.252144,51.755466,38.01744,24.130188,12.577934,-24.759499,26.83054,60.64758,51.188446,94.89465,80.29823,63.933517,56.36081,-34.802544,31.894585,65.09236,68.46251,54.909027,106.23913,36.611378,55.588985,-35.730213,19.123833,81.96253,-18.336258,8.192997,17.133442,52.47112,49.375313,71.77459,50.461296,59.86186,41.177975,100.26968,13.650581,-8.185509
92.530716,51.209446,56.43789,48.912106,13.634033,-10.700783,-103.4595,47.74065,61.344154,91.02479,62.174667,18.387539,61.94236,-61.248833,26.945389,63.628574,-13.948181,58.172836,101.82131,11.162968,48.90482,16.559097,28.884377,62.333183,-38.527824,16.891544,10.9332695,47.37348,43.155968,65.93787,55.482185,53.85485,43.916336,92.82466,35.013763,-0.8213577
70.832664,47.296864,6.804798,80.24135,18.401836,0.38453674,-69.1595,55.24398,64.60684,107.725494,87.915504,62.923347,73.63966,-75.46221,28.02375,79.62053,-2.9461212,54.082558,95.60969,23.296165,59.070675,38.724094,28.578857,17.990486,-25.918259,13.965229,8.106541,59.540474,38.646267,71.14407,36.80208,58.809807,35.48552,98.360916,32.93405,4.860476
76.88761,40.989723,-51.78784,81.98998,-14.024212,14.787191,-5.9255295,52.13588,43.34639,102.842514,90.25752,66.19922,76.25638,-58.255253,34.598164,75.04825,-4.0235596,70.12607,118.80874,28.741455,109.738754,67.9084,42.77526,54.022503,-14.881699,21.422867,-51.978275,53.464878,43.178402,94.80345,32.47409,42.74222,39.376488,113.01281,29.205883,16.44513
76.31897,51.40196,-71.04632,109.10232,35.556076,30.106289,10.236298,53.509274,57.917595,96.52742,80.61027,63.46142,70.52925,-60.145103,-2.8921394,68.48824,8.455009,-3.7342834,116.306145,-23.99543,47.80759,102.76253,46.166805,54.36936,-10.373558,21.977694,-34.030434,58.895252,46.915718,72.47202,28.608397,48.55239,45.20897,99.07763,45.591133,28.457268
81.716774,77.9978,-36.37612,132.4867,73.13082,12.910774,21.983482,48.15215,77.543655,81.414,73.33348,76.5961,66.15818,-34.369167,-9.4935,65.51307,24.584473,12.334874,109.9243,5.182457,93.582825,79.69519,47.53453,56.347977,-26.484894,22.73185,-15.199223,24.700502,46.287685,70.60945,13.542896,45.446068,33.295464,93.085205,46.705452,27.949974
89.58058,79.71714,-12.551102,132.00879,75.026665,44.132744,23.92163,44.758728,51.278008,104.041275,102.9031,76.82213,59.808273,-17.909218,47.184174,60.17517,12.894005,27.311218,109.50089,3.9858513,112.30907,81.85105,49.805992,54.750736,-23.84288,51.2056,5.8287888,11.636349,43.623333,98.080246,25.432976,39.865715,36.370544,53.28456,29.875488,30.3171
81.72315,72.02899,-0.25323486,94.768074,33.549103,25.630138,32.89962,63.21925,60.41947,117.44203,60.186558,55.945427,54.969727,-23.178719,48.3813,50.34345,11.85615,23.660065,63.221756,8.78183,99.40004,59.76281,53.675613,92.11908,-44.09633,52.354214,7.033455,18.025473,51.153896,89.23051,34.577766,35.285686,39.97564,65.35473,32.573936,31.9664
81.74342,71.19795,9.179737,125.65586,57.73703,26.134388,54.034218,47.910618,62.60134,124.204025,72.72951,57.658234,51.41399,-16.401138,50.611168,51.041542,25.26416,37.91774,69.89496,11.844444,68.328964,73.41301,10.26622,72.40799,-36.58367,50.156033,24.436089,21.536976,40.841667,1.9755554,32.620102,35.30849,34.918766,66.82292,39.364986,39.149277
74.7556,62.761738,39.14083,121.52762,75.26455,21.639053,81.949875,-0.8049164,61.784016,103.95501,80.12756,102.07515,34.606373,-1.7134247,0.38080215,74.46726,51.80117,29.178932,79.11485,21.989525,42.775864,56.256058,20.292423,8.570061,-10.574318,46.256554,19.073402,23.059898,35.73513,3.862831,37.802258,33.544353,35.72781,69.987274,15.195999,35.827625
63.149647,49.028484,26.328999,86.10986,17.980179,10.684814,72.969124,13.975845,53.053524,129.7219,67.71641,77.586975,36.280327,-20.910736,23.028534,76.36202,12.04657,41.377224,70.19047,20.744953,58.86336,46.945824,26.043602,12.634258,45.996742,43.00782,20.439686,13.739628,46.530212,8.647568,34.495457,27.005783,42.905163,88.15309,20.248055,37.922478
60.93636,57.090492,29.255783,69.5854,10.210445,16.502312,32.638485,8.041874,48.65933,110.37626,81.33126,106.36455,40.67666,-20.69802,43.03265,92.64364,40.094513,32.99722,61.51071,41.85965,64.54561,47.488888,31.208824,11.242294,82.52373,39.607647,-36.17935,44.100998,46.025795,-5.3958397,41.96192,19.321339,42.13392,92.78524,31.164955,37.77504
66.81474,6.0155106,53.01186,75.20715,29.078968,41.910408,18.938633,28.095749,45.83902,103.5655,69.3743,60.41349,38.48567,-20.163605,31.442837,86.83721,45.291576,30.710945,71.09895,39.602467,79.02595,67.521965,34.631634,-6.0487976,69.91094,44.672955,-85.50952,27.714981,45.68263,-18.77061,45.938812,19.448692,47.332443,88.562416,38.940437,49.588745
69.10111,-1.0990906,48.60125,52.269905,28.349869,11.577774,35.800446,25.978954,50.80916,86.063065,82.103096,62.51834,52.370068,-43.119514,42.8339,78.02232,38.487614,2.427948,83.18465,45.07485,74.05405,71.49561,24.773167,-2.3442993,54.537525,38.150745,-54.498363,27.179451,35.08319,-4.071228,45.941925,34.7764,50.57126,82.038284,49.061825,40.54309
73.59697,26.80729,37.006023,36.41603,-0.8350754,2.948246,49.217907,28.756844,52.89885,82.48539,94.81159,62.348442,49.762405,-27.718044,0.25639725,62.424202,36.00857,7.7021713,80.40122,61.43981,53.353577,57.75715,29.002293,-3.2302475,32.72941,42.492424,-11.047401,10.572483,33.611137,4.212036,38.19572,49.084126,44.888958,84.63494,47.217396,46.9636
64.58141,28.896307,39.252567,61.004013,38.345505,18.791962,35.087536,40.47841,43.9027,79.25232,75.02038,90.42561,61.013874,-18.318733,5.830719,19.299236,40.614876,17.378864,38.56802,65.37334,71.30333,52.991787,17.316856,-37.49637,43.061733,35.997025,-23.336693,4.577072,31.25813,15.730804,16.108723,34.651665,42.952667,45.852013,51.622055,3.2211876
54.052116,30.218979,39.380707,71.028625,53.54823,25.911747,28.606167,42.091743,48.14671,88.82006,65.146454,84.8514,52.780643,-17.687382,8.196678,20.512932,51.118095,28.2658,-26.471306,69.248276,-2.116066,59.302567,37.427456,0.75341034,24.723122,40.152092,-12.619083,6.9052887,30.542912,18.248888,17.348385,34.09841,46.4685,60.75704,42.055946,22.476112
60.126366,30.09806,41.205544,46.61742,38.215187,19.247658,37.653614,43.429295,50.339863,65.255424,82.0076,-16.171982,44.74908,-14.484642,11.974781,24.579756,44.866463,-42.003036,-15.746605,45.238525,22.151138,38.44151,34.38328,30.433807,28.487076,45.61362,-14.108574,21.145702,25.92667,12.028591,25.065834,29.3087,56.649593,80.57513,53.46734,18.5868
61.364834,25.241585,10.67923,43.610092,9.67495,18.624382,35.987953,47.977886,63.32925,63.06866,39.422146,55.833862,34.912178,-27.09407,26.342308,25.16053,25.085594,-51.210777,-13.63575,48.631413,32.083717,38.69623,26.956982,17.25623,24.829193,24.33612,-27.085152,22.677156,20.242157,12.981724,-24.541157,12.69238,64.43086,80.77377,63.3415,20.21534
70.77251,44.72096,10.161514,19.778118,20.48719,11.858456,40.858727,39.997635,48.58988,48.372704,52.52885,67.081055,18.687145,-27.202927,27.160767,18.388023,21.56704,-43.55158,14.369408,31.134064,38.317265,71.23289,65.17586,8.954376,24.19058,21.556465,-27.255226,20.092388,12.6527,15.64296,-19.626923,22.680172,65.38376,62.28395,64.43752,17.238884
