A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0.08363217,0.1227404,-0.07804284,-0.11788942,0.40875745,-0.07491256,0.5900538,-0.051045656,-0.019276284,-0.055376247,-0.086592495,0.070048034,-0.10700914,0.48500103,0.36417064
0.017979056,-0.09031443,0.50392723,0.118991196,0.32342455,-0.064268306,-0.031161062,-0.09133963,0.591272,-0.1729178,-0.09576237,-0.06613156,-0.05181522,0.39934134,-0.1312313
0.10616216,-0.20655838,0.22151026,-0.02273941,0.37877095,-0.12151527,0.45403966,-0.11094187,0.078932025,-0.029815182,-0.04402875,-0.033221558,0.017118394,0.35322598,0.45088166
-0.1019385,0.044761583,0.42916763,-0.08348154,0.4251595,0.094052255,0.18679337,0.06850815,0.59863794,-0.09116071,0.11711913,-0.011522353,0.104913086,0.3145239,0.25802565
0.100747645,0.04951421,0.14504206,-0.011115938,0.33776578,0.14705482,0.49077606,0.065870315,0.19317907,0.06197963,-0.079862565,-0.13651036,0.087170795,0.27373734,0.5307442
0.101311326,0.17198804,0.44919804,0.054911137,0.359918,0.0682586,0.24172734,0.13232356,0.63562304,0.113506876,0.046707794,0.022266373,-0.05460967,0.37935248,0.34627685
0.118064314,0.061217904,0.41856703,-0.05376535,0.21831824,0.0053795874,0.35847393,-0.06550618,0.22890924,0.020374052,-0.060667083,-0.030370116,-0.0010226518,0.49076578,0.677081
0.066387236,-0.10444328,0.29245687,-0.11891453,0.14436907,0.14171469,0.3232853,-0.13218153,0.26627105,-0.064643204,-0.049313523,-0.10557233,0.053940013,0.6382185,0.3987851
-0.14890261,-0.16652803,0.23218332,0.13336724,0.0051041692,-0.032663442,0.1797688,-0.13766158,0.38826206,0.12489267,0.103373915,-0.040559076,0.1362198,0.49925563,0.15071407
0.054190442,0.019992739,0.24662939,-0.076302,-0.064051874,-0.10708328,0.25024042,0.10223752,0.038338885,0.013402708,-0.07218011,0.10551524,0.12162086,0.4367563,-0.02143827
0.07017277,-0.04366716,0.26180166,-0.09558707,0.041017972,-0.11989529,0.35221696,-0.03944634,0.15457481,-0.19452918,-0.08350529,-0.14582969,0.060452163,0.38351277,0.34370345
-0.053586714,-0.066518754,0.27486265,0.09292211,-0.036563285,0.14225194,0.17583212,0.11089465,0.35456383,-0.1547401,-0.11470583,-0.031154916,-0.028771825,0.4402904,0.13279735
0.10907233,-0.21272159,0.16783462,0.09337179,-0.026503272,0.032847956,0.21723872,-0.13576865,0.31705025,0.28709435,0.07048789,0.09966938,0.04176016,0.42281026,0.47399518
0.07655732,0.35068035,0.39530694,0.07951145,0.029653527,-0.11286794,0.036184594,0.050862953,0.3023002,0.14778395,-0.06401255,-0.1318429,-0.104741536,0.5366795,0.008519128
0.10050988,0.24349578,-0.007420793,0.11743197,-0.033040516,0.07819222,0.3655997,-0.10788755,-0.07556684,-0.19835308,-0.052351072,0.11883277,0.11435646,0.6518246,0.40910113
0.031840324,-0.3351119,0.38707888,-0.09000185,0.060018353,0.034965098,0.13828473,-0.024113163,0.31206134,0.10037275,0.05998856,-0.11510754,0.020700604,0.574543,-0.19127673
-0.07145954,-0.0074388236,0.12841657,0.028473288,0.18563089,-0.017194062,0.44280759,0.010517448,-0.00477013,0.009929463,-0.114949666,-0.094239295,-0.12985808,0.58658135,0.502084
0.036221355,0.10412629,0.3333947,0.10566521,0.33489308,-0.053376622,0.06082824,-0.004901111,0.4240392,0.013746947,-0.09054997,0.034555554,0.13845834,0.7071773,0.065267354
0.021759078,0.15965024,0.23481809,-0.08670055,0.40281928,0.056034103,0.3292926,-0.01022625,0.18346924,0.0659998,-0.038869195,0.08044626,0.10720077,0.6320008,0.34607017
-0.06482581,0.07739384,0.20749703,-0.035721928,0.25755903,-0.03541991,0.31425998,-0.10496604,0.28390485,0.18999179,-0.045773365,0.050476104,0.110117644,0.48705882,0.3409202
0.06489013,0.18810353,0.25669068,-0.074836224,0.22679588,-0.12988609,0.30390823,-0.0016110837,0.1689198,-0.05927816,0.057946667,-0.12452957,-0.12552053,0.3708195,0.02589257
0.0472081,-0.14261612,0.26201612,-0.12548327,0.33190516,-0.11799918,0.22265917,-0.08512363,0.3814868,-0.17638451,-0.13137557,0.09469016,-0.021466628,0.24532211,0.3484833
-0.14625478,-0.15191872,0.20402113,0.01561445,0.23116288,0.029896677,0.13807897,0.01721631,0.17450124,-0.22068262,-0.0037118793,-0.04662677,-0.116450384,0.29129714,0.29346794
-0.09297329,-0.14042164,0.117362455,0.08177945,0.29518962,0.106592,0.14708875,0.001682654,0.054448284,-0.04123106,0.063283294,0.084876195,0.11477217,0.41471463,0.22660245
-0.13988778,-0.051866613,0.3611365,-0.006662965,0.15939404,-0.042315,0.20805456,-0.09678575,0.09936058,0.1739792,0.11616945,-0.12144174,-0.021442443,0.49843246,0.15614754
0.11261037,0.032471895,0.25744018,0.13853207,0.27178246,0.029729217,0.38479048,-0.030563109,0.06832506,0.005731322,-0.041070007,0.02430129,0.05398068,0.5936245,0.38679174
0.003101021,-0.018606253,0.60749435,-0.12444177,0.2728485,-0.00034026802,0.32125777,0.109027505,0.28214425,0.12443632,-0.072147705,0.063979626,0.03457713,0.69517463,0.37676802
-0.0065499693,0.13071764,0.24035206,-0.10592084,0.41874394,0.0068493634,0.48774976,-0.043518484,0.2953733,0.14531861,0.052951768,0.1268835,-0.08210004,0.79998523,0.6518267
-0.0139828175,0.107642494,0.3399644,-0.1345087,0.5478927,-0.14122027,0.20073056,-0.14054021,0.59188414,0.0019673705,0.14407083,0.11863953,0.05950068,0.72942376,0.16480437
-0.13730046,0.031936735,-0.06841701,0.044855967,0.64862806,-0.045702033,0.24322808,0.068915516,0.18756124,-0.19120476,0.09563771,-0.023848444,0.07274698,0.86085856,0.11511319
0.0169335,-0.31968075,0.2103788,0.13316035,0.6013705,0.10149151,-0.0028391778,-0.14036372,0.21186197,-0.16092134,-0.10545974,0.14544138,0.021860361,0.7682462,-0.005376965
0.058783725,-0.015125304,0.13963267,0.07201928,0.6626718,-0.072868735,0.17839324,-0.025167935,-0.0065784454,0.1556091,-0.11581289,0.11343652,0.14969313,0.63822484,-0.051913165
-0.1499741,0.07165594,0.27491024,-0.0050135255,0.5157485,-0.04775267,0.1429155,-0.09501904,0.11720008,-0.12343918,0.024866134,0.0061104,0.022890076,0.7486527,0.18297201
-0.04192082,-0.22562125,0.1305912,-0.11902296,0.64597225,0.029909492,0.38087073,-0.09933701,0.2563069,0.04225377,0.018585488,-0.11706337,0.11308372,0.7833717,0.17749687
-0.05965823,-0.05016584,0.27198896,-0.13787948,0.5293674,0.13672116,0.24498756,0.0077718645,0.43775314,0.10397394,0.07054788,0.0055054277,0.043105796,0.63448834,-0.108658865
-0.017165542,0.012650728,0.067975335,-0.007929653,0.5027212,-0.10552801,0.14655244,-0.14853379,0.1278445,0.09559321,0.0009872466,0.13489491,0.13518372,0.78011715,0.28843957
0.14111471,-0.03344629,0.028147087,0.026731089,0.42521954,0.12100473,0.19178176,0.09967367,0.2328073,-0.061626554,0.14065665,0.025723517,-0.12130235,0.6658878,0.04181894
-0.015570566,-0.17640336,0.3548844,-0.14935063,0.4235755,-0.018543288,-0.0461888,-0.036011197,0.293246,0.19528215,0.0022626072,0.0627763,0.057718024,0.74822,0.20150113
-0.14989379,0.048317954,-0.14818846,0.0378495,0.3833636,-0.10292783,0.37905604,0.020031124,0.06369281,0.10307695,0.0016033202,0.1487732,-0.102483384,0.863742,0.27600613
-0.031716444,-0.04477237,0.3693251,-0.08203093,0.5064341,0.029332578,-0.24241737,-0.1043161,0.36680853,0.034003295,0.051570937,0.0968716,0.1272851,0.94502777,-0.03960809
-0.14589551,-0.033843614,-0.4060402,0.11726707,0.49647266,0.14560774,0.24660793,-0.006811753,-0.3636495,0.04579465,0.024686873,-0.03519743,-0.09495793,0.8474266,0.2637118
-0.079050444,0.17467399,0.24166024,0.13884732,0.40996593,-0.05414992,-0.4618018,-0.083404526,0.38659808,0.037098616,-0.039961033,-0.12238102,0.07727371,0.8880525,-0.54635876
0.00022697449,0.17607704,-0.26100653,-0.08561064,0.38741648,0.08123785,0.14907865,-0.046395853,-0.60810035,0.08958957,0.0014779121,-0.07831176,0.061640248,0.95127404,0.18379386
0.07526775,0.084997796,0.032152288,0.053266525,0.3204194,0.07324137,-0.25106293,0.09381236,0.26590037,0.17625964,0.021270007,0.12920073,0.09327303,0.89049035,-0.24784632
0.056517154,0.19213508,-0.1888936,0.14283615,0.21607003,0.07283805,-0.09927287,0.047787905,-0.14984548,0.12425725,0.034667805,-0.1409698,-0.055262648,0.7694455,0.21430306
0.08641122,0.09569489,-0.013500735,0.13698131,0.3014626,-0.05931046,-0.114114866,0.06679076,-0.17817508,0.035642788,-0.12167735,-0.01850243,-0.095399335,0.7394372,-0.22327487
0.110144764,-0.0047423244,-0.102926984,0.103684396,0.29416883,0.12522414,-0.079185516,-0.08236674,-0.09360118,-0.15599129,0.109842926,-0.04548467,-0.03524124,0.8011304,-0.0010884777
-0.10476836,-0.05270496,0.13387567,0.10118538,0.1791703,0.103057265,-0.035228312,-0.11930339,0.016295582,0.090421066,-0.08185072,0.13424763,0.043708652,0.79421824,-0.14439178
0.04303989,0.21315084,0.14855486,0.00045624375,0.10073367,-0.06262304,0.14407139,-0.09181191,-0.07359644,0.10033366,0.14968854,-0.011849761,0.13311446,0.8930774,-0.07062615
-0.07422161,0.12599461,0.14265673,-0.10656047,0.091957495,-0.12735575,0.22639543,0.09622423,0.16467144,0.04494007,-0.092687756,0.0019602776,-0.00020377338,0.9254563,0.07799822
0.099975675,0.059903994,0.17652978,0.022640109,0.22896276,0.105671674,0.06738493,-0.014223948,0.19872671,-0.13639295,0.0013006032,0.12602165,-0.14161365,0.97487336,0.2728619
0.0591712,-0.12568036,0.10176173,-0.06435844,0.307015,0.06310631,0.17065099,-0.047562324,0.06933202,0.10620318,0.09425047,-0.044022866,-0.12772635,1.0544834,0.028304964
-0.106974706,-0.036358997,0.20936829,0.008866549,0.29321653,-0.012044638,0.0067850426,0.14337865,0.1269074,0.080002114,-0.03526157,0.11479622,-0.12650499,0.92437017,-0.036834918
0.115091085,-0.046185568,0.025799043,0.049031585,0.25359347,-0.028130881,0.12670031,-0.13127239,-0.08968856,-0.09028014,0.024826601,-0.08379874,0.12963945,0.90949905,0.37815604
0.07664983,0.02741874,0.28505433,-0.061268777,0.29009104,-0.09306847,0.051832832,-0.03160481,0.15244743,0.07652358,0.14135423,-0.01832591,-0.12627938,0.8411975,0.038766287
-0.03867785,-0.025528662,-0.006179668,0.094669685,0.29523706,0.08275773,0.42967558,0.14047241,0.19735336,0.020234682,-0.03491094,-0.08922982,-0.05568014,0.85604006,0.3527676
0.08906758,0.14188308,0.66107905,-0.014885336,0.4201571,-0.037937418,-0.06462883,0.059311688,0.39748582,0.008414239,-0.0052048117,-0.105380744,-0.07055354,0.80706906,0.00088226795
0.07157777,-0.058491178,-0.20425238,-0.13481817,0.32892185,-0.07156395,0.55637825,-0.030545376,-0.15808207,0.10590203,0.010393843,-0.024359673,-0.06856712,0.7363934,0.82348615
0.058193848,0.17078578,0.46865517,0.10317975,0.41674113,-0.14920422,-0.3332681,-0.1427823,0.6162,-0.15831023,-0.10646196,-0.07902051,-0.00033032894,0.7708724,-0.21079299
0.05307077,-0.06198044,-0.15470104,-0.0074897856,0.42486748,0.099028185,0.6136211,0.031284317,-0.3498567,-0.0007920265,0.1314137,0.032515317,-0.07940635,0.6833081,0.21397214
